freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.921e+01,6.028e+01,1.042e+03,1.172e+03
1.5,7.940e+01,4.879e+01,6.096e+02,7.378e+02
3.1,5.323e+01,1.931e+01,3.967e+01,1.122e+02
4.6,4.992e+01,2.003e+01,3.453e+02,4.152e+02
6.1,5.682e+01,2.171e+01,1.217e+03,1.296e+03
7.7,5.860e+01,2.320e+01,1.859e+03,1.941e+03
9.2,5.225e+01,2.299e+01,2.704e+03,2.779e+03
10.8,6.298e+01,2.415e+01,3.958e+03,4.045e+03
12.3,6.120e+01,2.866e+01,5.404e+03,5.493e+03
13.8,5.826e+01,3.315e+01,6.485e+03,6.577e+03
15.4,5.971e+01,4.276e+01,7.943e+03,8.046e+03
16.9,6.235e+01,4.942e+01,1.014e+04,1.026e+04
18.4,6.382e+01,5.210e+01,1.260e+04,1.271e+04
20.0,8.828e+01,5.822e+01,1.579e+04,1.593e+04
21.5,8.725e+01,6.984e+01,1.982e+04,1.998e+04
23.0,7.551e+01,9.000e+01,2.410e+04,2.427e+04
24.6,1.001e+02,1.176e+02,2.900e+04,2.922e+04
26.1,1.195e+02,1.528e+02,3.450e+04,3.477e+04
27.7,1.394e+02,2.352e+02,4.103e+04,4.140e+04
29.2,1.641e+02,3.766e+02,4.936e+04,4.991e+04
30.7,1.597e+02,5.990e+02,5.928e+04,6.004e+04
32.3,1.578e+02,9.710e+02,7.295e+04,7.408e+04
33.8,1.684e+02,2.056e+03,9.204e+04,9.427e+04
35.3,1.422e+02,4.606e+03,1.171e+05,1.219e+05
36.9,2.055e+02,9.224e+03,1.493e+05,1.587e+05
38.4,5.272e+02,1.667e+04,1.849e+05,2.021e+05
39.9,1.648e+03,2.817e+04,2.220e+05,2.518e+05
41.5,5.062e+03,4.606e+04,2.630e+05,3.141e+05
43.0,1.192e+04,6.491e+04,3.100e+05,3.869e+05
44.6,1.815e+04,6.593e+04,3.912e+05,4.753e+05
46.1,2.292e+04,5.481e+04,5.318e+05,6.096e+05
47.6,2.625e+04,4.121e+04,7.604e+05,8.279e+05
49.2,2.767e+04,2.927e+04,1.052e+06,1.109e+06
50.7,2.989e+04,2.044e+04,1.383e+06,1.434e+06
52.2,3.654e+04,1.366e+04,1.833e+06,1.883e+06
53.8,6.539e+04,1.053e+04,2.488e+06,2.564e+06
55.3,1.408e+05,1.069e+04,3.606e+06,3.758e+06
56.8,2.355e+05,1.216e+04,5.115e+06,5.363e+06
58.4,2.940e+05,1.444e+04,5.900e+06,6.209e+06
59.9,2.770e+05,1.551e+04,5.120e+06,5.413e+06
61.5,2.162e+05,1.671e+04,3.721e+06,3.954e+06
63.0,1.638e+05,1.677e+04,2.643e+06,2.823e+06
64.5,1.298e+05,1.538e+04,1.917e+06,2.063e+06
66.1,1.085e+05,1.584e+04,1.430e+06,1.554e+06
67.6,9.199e+04,1.782e+04,1.105e+06,1.215e+06
69.1,7.809e+04,1.990e+04,8.786e+05,9.766e+05
70.7,6.657e+04,2.253e+04,7.075e+05,7.966e+05
72.2,5.667e+04,2.558e+04,5.774e+05,6.597e+05
73.7,4.821e+04,2.869e+04,4.810e+05,5.579e+05
75.3,4.217e+04,3.160e+04,4.172e+05,4.909e+05
76.8,3.756e+04,3.370e+04,3.632e+05,4.344e+05
78.4,3.536e+04,3.627e+04,3.263e+05,3.979e+05
79.9,3.410e+04,3.894e+04,2.992e+05,3.723e+05
81.4,3.338e+04,4.224e+04,2.781e+05,3.537e+05
83.0,3.366e+04,4.645e+04,2.625e+05,3.426e+05
84.5,3.499e+04,5.087e+04,2.485e+05,3.344e+05
86.0,3.687e+04,5.596e+04,2.378e+05,3.307e+05
87.6,3.975e+04,6.171e+04,2.315e+05,3.330e+05
89.1,4.234e+04,6.681e+04,2.249e+05,3.340e+05
90.6,4.494e+04,7.217e+04,2.203e+05,3.374e+05
92.2,4.890e+04,8.125e+04,2.168e+05,3.470e+05
93.7,5.439e+04,9.089e+04,2.115e+05,3.568e+05
95.3,6.068e+04,1.008e+05,2.051e+05,3.666e+05
96.8,6.967e+04,1.127e+05,1.999e+05,3.823e+05
98.3,8.466e+04,1.318e+05,1.996e+05,4.161e+05
99.9,1.034e+05,1.542e+05,1.965e+05,4.541e+05
101.4,1.234e+05,1.790e+05,1.905e+05,4.929e+05
102.9,1.308e+05,1.945e+05,1.833e+05,5.085e+05
104.5,1.131e+05,1.880e+05,1.776e+05,4.788e+05
106.0,8.489e+04,1.709e+05,1.762e+05,4.320e+05
107.5,5.840e+04,1.566e+05,1.755e+05,3.906e+05
109.1,3.763e+04,1.526e+05,1.754e+05,3.657e+05
110.6,2.323e+04,1.601e+05,1.777e+05,3.610e+05
112.2,1.656e+04,1.692e+05,1.748e+05,3.606e+05
113.7,1.654e+04,1.767e+05,1.679e+05,3.612e+05
115.2,1.944e+04,1.803e+05,1.567e+05,3.565e+05
116.8,2.036e+04,1.807e+05,1.380e+05,3.391e+05
118.3,1.873e+04,1.997e+05,1.287e+05,3.471e+05
119.8,1.664e+04,2.433e+05,1.292e+05,3.892e+05
121.4,1.613e+04,2.752e+05,1.216e+05,4.129e+05
122.9,1.704e+04,2.688e+05,1.044e+05,3.902e+05
124.4,2.083e+04,2.382e+05,9.725e+04,3.562e+05
126.0,3.103e+04,1.987e+05,1.075e+05,3.372e+05
127.5,4.982e+04,1.727e+05,1.264e+05,3.489e+05
129.0,7.704e+04,1.593e+05,1.469e+05,3.832e+05
130.6,1.109e+05,1.368e+05,1.710e+05,4.187e+05
132.1,1.274e+05,9.464e+04,1.728e+05,3.948e+05
133.7,5.246e+04,3.328e+04,7.738e+04,1.631e+05
135.2,1.647e+04,1.366e+04,3.480e+04,6.493e+04
136.7,1.847e+04,1.464e+04,3.712e+04,7.023e+04
138.3,2.087e+04,1.669e+04,3.989e+04,7.746e+04
139.8,2.393e+04,1.978e+04,4.364e+04,8.735e+04
141.3,2.881e+04,2.374e+04,5.064e+04,1.032e+05
142.9,3.407e+04,2.770e+04,5.732e+04,1.191e+05
144.4,4.026e+04,3.259e+04,6.560e+04,1.385e+05
145.9,4.742e+04,3.787e+04,7.387e+04,1.592e+05
147.5,5.486e+04,4.339e+04,8.154e+04,1.798e+05
149.0,6.013e+04,4.699e+04,8.685e+04,1.940e+05
150.6,6.274e+04,4.885e+04,8.998e+04,2.016e+05
152.1,6.566e+04,5.035e+04,9.392e+04,2.099e+05
153.6,6.736e+04,4.992e+04,9.480e+04,2.121e+05
155.2,6.717e+04,4.755e+04,9.503e+04,2.097e+05
156.7,7.115e+04,4.664e+04,9.988e+04,2.177e+05
158.2,7.056e+04,4.509e+04,9.996e+04,2.156e+05
159.8,6.829e+04,4.233e+04,9.851e+04,2.091e+05
161.3,6.813e+04,4.106e+04,9.768e+04,2.069e+05
162.8,6.815e+04,3.955e+04,9.577e+04,2.035e+05
164.4,6.415e+04,3.624e+04,8.985e+04,1.902e+05
165.9,5.898e+04,3.205e+04,8.334e+04,1.744e+05
167.5,5.585e+04,2.871e+04,7.980e+04,1.644e+05
169.0,5.253e+04,2.542e+04,7.545e+04,1.534e+05
170.5,4.677e+04,2.083e+04,6.882e+04,1.364e+05
172.1,4.054e+04,1.642e+04,6.232e+04,1.193e+05
173.6,3.390e+04,1.294e+04,5.575e+04,1.026e+05
175.1,2.740e+04,1.041e+04,4.911e+04,8.692e+04
176.7,2.298e+04,9.107e+03,4.317e+04,7.525e+04
178.2,2.062e+04,9.470e+03,3.912e+04,6.921e+04
179.7,1.968e+04,1.076e+04,3.670e+04,6.713e+04
181.3,1.885e+04,1.119e+04,3.362e+04,6.365e+04
182.8,1.740e+04,1.095e+04,2.984e+04,5.819e+04
184.4,1.715e+04,1.076e+04,2.674e+04,5.465e+04
