freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.664e+02,1.147e+03,2.753e+01,1.641e+03
1.5,3.355e+02,6.605e+02,4.177e+01,1.038e+03
3.1,1.074e+02,3.652e+01,3.714e+01,1.811e+02
4.6,1.147e+02,3.096e+02,5.143e+01,4.758e+02
6.1,1.066e+02,1.102e+03,7.698e+01,1.285e+03
7.7,8.927e+01,1.990e+03,6.460e+01,2.144e+03
9.2,9.201e+01,3.108e+03,4.786e+01,3.248e+03
10.8,1.083e+02,4.759e+03,5.070e+01,4.918e+03
12.3,9.768e+01,5.832e+03,7.556e+01,6.006e+03
13.8,8.982e+01,6.987e+03,9.887e+01,7.176e+03
15.4,7.562e+01,9.775e+03,1.247e+02,9.975e+03
16.9,8.985e+01,1.336e+04,1.239e+02,1.357e+04
18.4,1.116e+02,1.802e+04,1.155e+02,1.824e+04
20.0,1.153e+02,1.961e+04,8.367e+01,1.980e+04
21.5,1.085e+02,2.168e+04,7.581e+01,2.186e+04
23.0,1.469e+02,2.801e+04,6.995e+01,2.822e+04
24.6,2.513e+02,3.676e+04,6.014e+01,3.707e+04
26.1,3.175e+02,4.566e+04,7.888e+01,4.606e+04
27.7,3.832e+02,5.882e+04,1.256e+02,5.933e+04
29.2,5.330e+02,8.111e+04,1.855e+02,8.183e+04
30.7,1.160e+03,1.179e+05,3.308e+02,1.194e+05
32.3,2.699e+03,1.749e+05,8.002e+02,1.784e+05
33.8,6.456e+03,2.721e+05,1.991e+03,2.806e+05
35.3,2.256e+04,4.885e+05,4.657e+03,5.157e+05
36.9,8.095e+04,1.009e+06,1.120e+04,1.101e+06
38.4,2.347e+05,2.087e+06,2.139e+04,2.343e+06
39.9,5.417e+05,3.691e+06,3.445e+04,4.267e+06
41.5,7.606e+05,3.983e+06,4.282e+04,4.787e+06
43.0,7.391e+05,2.718e+06,3.550e+04,3.493e+06
44.6,6.808e+05,1.597e+06,2.443e+04,2.303e+06
46.1,7.340e+05,1.058e+06,2.110e+04,1.813e+06
47.6,9.536e+05,8.362e+05,2.904e+04,1.819e+06
49.2,1.405e+06,7.379e+05,5.266e+04,2.196e+06
50.7,1.970e+06,6.092e+05,7.614e+04,2.656e+06
52.2,1.836e+06,3.519e+05,5.585e+04,2.243e+06
53.8,1.114e+06,1.738e+05,2.455e+04,1.312e+06
55.3,6.680e+05,1.249e+05,9.479e+03,8.023e+05
56.8,4.557e+05,1.086e+05,6.069e+03,5.704e+05
58.4,3.361e+05,9.642e+04,5.528e+03,4.381e+05
59.9,2.644e+05,8.675e+04,6.923e+03,3.581e+05
61.4,2.119e+05,8.517e+04,1.223e+04,3.093e+05
63.0,1.797e+05,7.927e+04,1.464e+04,2.736e+05
64.5,1.629e+05,6.484e+04,1.160e+04,2.394e+05
66.1,1.499e+05,5.296e+04,7.862e+03,2.107e+05
67.6,1.353e+05,4.618e+04,5.712e+03,1.872e+05
69.1,1.190e+05,4.289e+04,4.725e+03,1.666e+05
70.7,1.040e+05,4.140e+04,4.348e+03,1.498e+05
72.2,9.227e+04,4.045e+04,4.514e+03,1.372e+05
73.7,8.318e+04,3.979e+04,4.713e+03,1.277e+05
75.3,7.643e+04,3.983e+04,4.624e+03,1.209e+05
76.8,7.084e+04,4.017e+04,4.337e+03,1.153e+05
78.3,6.700e+04,4.047e+04,3.847e+03,1.113e+05
79.9,6.237e+04,4.052e+04,3.142e+03,1.060e+05
81.4,5.887e+04,4.086e+04,3.022e+03,1.028e+05
83.0,5.717e+04,4.207e+04,3.548e+03,1.028e+05
84.5,5.581e+04,4.437e+04,4.274e+03,1.045e+05
86.0,5.578e+04,4.730e+04,4.873e+03,1.079e+05
87.6,5.720e+04,4.950e+04,5.378e+03,1.121e+05
89.1,5.960e+04,5.094e+04,5.326e+03,1.159e+05
90.6,6.233e+04,5.221e+04,4.748e+03,1.193e+05
92.2,6.383e+04,5.329e+04,4.880e+03,1.220e+05
93.7,6.582e+04,5.522e+04,5.252e+03,1.263e+05
