freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.731e+01,7.459e+01,1.220e+03,1.362e+03
1.5,8.361e+01,6.070e+01,6.958e+02,8.401e+02
3.1,5.766e+01,2.217e+01,4.267e+01,1.225e+02
4.6,5.743e+01,2.375e+01,3.537e+02,4.349e+02
6.1,5.937e+01,2.328e+01,1.213e+03,1.296e+03
7.7,5.701e+01,2.369e+01,1.867e+03,1.947e+03
9.2,5.502e+01,2.304e+01,2.813e+03,2.891e+03
10.7,6.196e+01,2.719e+01,4.198e+03,4.287e+03
12.3,5.820e+01,3.078e+01,5.683e+03,5.772e+03
13.8,6.097e+01,3.453e+01,6.970e+03,7.066e+03
15.3,6.660e+01,4.295e+01,8.726e+03,8.836e+03
16.9,6.309e+01,4.579e+01,1.105e+04,1.116e+04
18.4,6.688e+01,3.767e+01,1.356e+04,1.366e+04
19.9,7.960e+01,4.437e+01,1.657e+04,1.669e+04
21.5,8.177e+01,5.813e+01,2.046e+04,2.060e+04
23.0,7.586e+01,7.066e+01,2.444e+04,2.459e+04
24.5,1.012e+02,7.849e+01,2.887e+04,2.905e+04
26.1,1.265e+02,1.037e+02,3.450e+04,3.473e+04
27.6,1.490e+02,1.669e+02,4.171e+04,4.203e+04
29.1,1.868e+02,2.411e+02,4.993e+04,5.036e+04
30.7,1.842e+02,3.192e+02,5.814e+04,5.865e+04
32.2,1.846e+02,4.364e+02,7.016e+04,7.078e+04
33.8,2.190e+02,7.221e+02,8.720e+04,8.814e+04
35.3,1.764e+02,1.478e+03,1.091e+05,1.107e+05
36.8,1.450e+02,2.915e+03,1.399e+05,1.430e+05
38.4,1.728e+02,5.993e+03,1.807e+05,1.868e+05
39.9,4.719e+02,1.359e+04,2.362e+05,2.502e+05
41.4,1.858e+03,2.849e+04,3.048e+05,3.352e+05
43.0,5.614e+03,4.939e+04,3.838e+05,4.388e+05
44.5,1.358e+04,7.418e+04,4.873e+05,5.751e+05
46.0,2.445e+04,8.616e+04,6.563e+05,7.670e+05
47.6,3.245e+04,7.192e+04,9.899e+05,1.094e+06
49.1,3.466e+04,4.968e+04,1.432e+06,1.516e+06
50.6,3.192e+04,3.072e+04,1.933e+06,1.995e+06
52.2,3.883e+04,2.021e+04,2.760e+06,2.819e+06
53.7,9.050e+04,2.284e+04,3.747e+06,3.860e+06
55.2,1.579e+05,2.234e+04,4.536e+06,4.716e+06
56.8,1.777e+05,1.764e+04,4.477e+06,4.672e+06
58.3,1.514e+05,1.188e+04,3.704e+06,3.867e+06
59.8,1.104e+05,8.345e+03,2.823e+06,2.941e+06
61.4,8.437e+04,7.523e+03,2.168e+06,2.260e+06
62.9,7.217e+04,6.543e+03,1.747e+06,1.826e+06
64.4,6.432e+04,4.637e+03,1.406e+06,1.475e+06
66.0,6.056e+04,4.193e+03,1.140e+06,1.205e+06
67.5,5.603e+04,5.902e+03,9.414e+05,1.003e+06
69.0,5.052e+04,8.122e+03,7.842e+05,8.428e+05
70.6,4.620e+04,1.113e+04,6.559e+05,7.132e+05
72.1,4.277e+04,1.470e+04,5.513e+05,6.087e+05
73.6,3.951e+04,1.826e+04,4.779e+05,5.356e+05
75.2,3.753e+04,2.168e+04,4.349e+05,4.941e+05
76.7,3.610e+04,2.468e+04,4.071e+05,4.679e+05
78.2,3.514e+04,2.754e+04,3.877e+05,4.504e+05
79.8,3.366e+04,3.017e+04,3.683e+05,4.321e+05
81.3,3.131e+04,3.272e+04,3.496e+05,4.136e+05
82.8,2.871e+04,3.514e+04,3.334e+05,3.973e+05
84.4,2.821e+04,3.820e+04,3.171e+05,3.835e+05
85.9,2.886e+04,4.202e+04,2.979e+05,3.688e+05
87.4,3.013e+04,4.586e+04,2.860e+05,3.620e+05
89.0,3.257e+04,5.123e+04,2.800e+05,3.638e+05
90.5,3.366e+04,5.682e+04,2.736e+05,3.640e+05
92.0,3.428e+04,6.213e+04,2.681e+05,3.645e+05
93.6,3.534e+04,6.744e+04,2.624e+05,3.652e+05
95.1,3.843e+04,7.417e+04,2.577e+05,3.703e+05
96.6,4.346e+04,8.306e+04,2.557e+05,3.822e+05
98.2,5.131e+04,9.524e+04,2.590e+05,4.055e+05
99.7,6.199e+04,1.113e+05,2.660e+05,4.393e+05
101.3,7.374e+04,1.290e+05,2.684e+05,4.711e+05
102.8,8.113e+04,1.436e+05,2.690e+05,4.937e+05
104.3,8.012e+04,1.559e+05,2.738e+05,5.099e+05
105.9,7.079e+04,1.682e+05,2.805e+05,5.195e+05
