freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.264e+01,9.009e+00,6.244e+02,7.261e+02
1.4,7.360e+01,2.245e+01,4.125e+02,5.086e+02
2.9,3.278e+01,2.497e+01,5.733e+01,1.151e+02
4.3,3.585e+01,2.418e+01,2.182e+02,2.782e+02
5.7,3.086e+01,2.590e+01,9.762e+02,1.033e+03
7.1,2.891e+01,2.874e+01,1.640e+03,1.698e+03
8.6,2.878e+01,3.220e+01,2.509e+03,2.570e+03
10.0,2.956e+01,3.305e+01,3.421e+03,3.484e+03
11.4,2.752e+01,2.752e+01,4.289e+03,4.344e+03
12.8,2.988e+01,3.365e+01,4.799e+03,4.863e+03
14.3,2.695e+01,4.282e+01,5.943e+03,6.013e+03
15.7,2.698e+01,3.547e+01,7.802e+03,7.864e+03
17.1,2.759e+01,3.040e+01,1.006e+04,1.011e+04
18.5,3.508e+01,3.822e+01,1.281e+04,1.289e+04
20.0,4.567e+01,4.738e+01,1.552e+04,1.561e+04
21.4,5.193e+01,5.732e+01,1.808e+04,1.819e+04
22.8,5.870e+01,6.003e+01,2.077e+04,2.089e+04
24.3,5.712e+01,5.153e+01,2.438e+04,2.449e+04
25.7,6.041e+01,5.665e+01,2.836e+04,2.848e+04
27.1,6.963e+01,7.538e+01,3.332e+04,3.347e+04
28.5,8.754e+01,8.132e+01,3.962e+04,3.979e+04
30.0,1.162e+02,9.454e+01,4.689e+04,4.710e+04
31.4,1.618e+02,1.038e+02,5.547e+04,5.573e+04
32.8,1.914e+02,1.123e+02,6.585e+04,6.616e+04
34.2,1.882e+02,1.295e+02,7.776e+04,7.808e+04
35.7,2.110e+02,1.792e+02,9.330e+04,9.369e+04
37.1,3.315e+02,2.708e+02,1.128e+05,1.134e+05
38.5,5.099e+02,4.191e+02,1.354e+05,1.363e+05
39.9,6.974e+02,7.588e+02,1.568e+05,1.583e+05
41.4,9.932e+02,1.232e+03,1.883e+05,1.906e+05
42.8,1.580e+03,2.040e+03,2.430e+05,2.466e+05
44.2,2.634e+03,3.567e+03,3.294e+05,3.356e+05
45.7,4.440e+03,5.451e+03,4.626e+05,4.725e+05
47.1,7.978e+03,8.074e+03,6.880e+05,7.040e+05
48.5,1.787e+04,1.119e+04,1.137e+06,1.166e+06
49.9,4.121e+04,1.297e+04,1.957e+06,2.011e+06
51.4,6.517e+04,1.169e+04,2.577e+06,2.654e+06
52.8,7.860e+04,7.918e+03,2.608e+06,2.694e+06
54.2,7.920e+04,6.768e+03,2.249e+06,2.335e+06
55.6,7.461e+04,6.806e+03,1.808e+06,1.889e+06
57.1,7.601e+04,7.011e+03,1.501e+06,1.584e+06
58.5,9.308e+04,7.194e+03,1.332e+06,1.432e+06
59.9,1.304e+05,6.525e+03,1.220e+06,1.357e+06
61.3,1.668e+05,4.363e+03,1.088e+06,1.259e+06
62.8,1.676e+05,2.183e+03,9.401e+05,1.110e+06
64.2,1.542e+05,1.564e+03,8.312e+05,9.870e+05
65.6,1.626e+05,1.680e+03,7.715e+05,9.358e+05
67.1,2.006e+05,1.551e+03,7.166e+05,9.187e+05
