freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.367e+01,9.256e+01,1.537e+03,1.683e+03
1.4,4.571e+01,6.875e+01,8.878e+02,1.002e+03
2.9,1.908e+01,2.024e+01,3.851e+01,7.783e+01
4.3,1.740e+01,2.046e+01,1.785e+02,2.164e+02
5.7,1.938e+01,2.099e+01,9.349e+02,9.753e+02
7.1,2.579e+01,2.150e+01,1.772e+03,1.819e+03
8.6,3.039e+01,2.190e+01,2.745e+03,2.797e+03
10.0,3.184e+01,2.253e+01,4.148e+03,4.202e+03
11.4,3.254e+01,2.540e+01,6.124e+03,6.182e+03
12.9,2.041e+01,2.719e+01,6.868e+03,6.915e+03
14.3,2.296e+01,3.030e+01,7.373e+03,7.426e+03
15.7,3.443e+01,3.527e+01,9.960e+03,1.003e+04
17.1,3.744e+01,4.976e+01,1.403e+04,1.412e+04
18.6,4.678e+01,7.374e+01,1.884e+04,1.896e+04
20.0,3.970e+01,1.111e+02,2.130e+04,2.145e+04
21.4,4.153e+01,1.033e+02,2.368e+04,2.383e+04
22.9,5.347e+01,1.080e+02,3.033e+04,3.049e+04
24.3,8.469e+01,1.493e+02,4.051e+04,4.075e+04
25.7,1.792e+02,2.060e+02,5.313e+04,5.352e+04
27.1,3.551e+02,4.192e+02,7.072e+04,7.150e+04
28.6,5.758e+02,8.017e+02,9.661e+04,9.799e+04
30.0,7.612e+02,1.264e+03,1.339e+05,1.359e+05
31.4,1.073e+03,1.971e+03,1.931e+05,1.961e+05
32.8,1.966e+03,3.639e+03,2.990e+05,3.046e+05
34.3,3.645e+03,7.318e+03,4.978e+05,5.088e+05
35.7,7.331e+03,1.481e+04,9.395e+05,9.616e+05
37.1,2.106e+04,4.364e+04,2.462e+06,2.527e+06
38.6,5.251e+04,1.133e+05,5.569e+06,5.735e+06
40.0,7.338e+04,1.517e+05,6.377e+06,6.602e+06
41.4,7.546e+04,1.402e+05,4.946e+06,5.162e+06
42.8,7.070e+04,1.155e+05,3.445e+06,3.631e+06
44.3,6.558e+04,9.378e+04,2.397e+06,2.556e+06
45.7,6.504e+04,7.889e+04,1.750e+06,1.894e+06
47.1,7.859e+04,6.818e+04,1.436e+06,1.583e+06
48.6,1.047e+05,6.078e+04,1.361e+06,1.527e+06
50.0,1.334e+05,5.953e+04,1.432e+06,1.625e+06
51.4,1.240e+05,6.095e+04,1.606e+06,1.791e+06
52.8,6.933e+04,4.379e+04,1.360e+06,1.474e+06
54.3,2.802e+04,1.348e+04,5.254e+05,5.669e+05
55.7,9.909e+03,5.209e+03,9.673e+04,1.118e+05
57.1,4.464e+03,6.870e+03,3.098e+04,4.231e+04
58.6,2.646e+03,9.875e+03,2.238e+04,3.490e+04
60.0,1.986e+03,1.504e+04,2.514e+04,4.216e+04
