freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.291e+01,7.997e+02,1.917e+01,8.518e+02
1.4,3.230e+01,4.648e+02,7.834e+01,5.755e+02
2.8,1.702e+01,1.902e+01,5.379e+01,8.983e+01
4.3,1.744e+01,1.813e+02,3.628e+01,2.350e+02
5.7,1.656e+01,9.981e+02,3.871e+01,1.053e+03
7.1,1.657e+01,1.835e+03,3.659e+01,1.888e+03
8.5,1.885e+01,2.769e+03,3.816e+01,2.826e+03
10.0,2.026e+01,3.535e+03,6.978e+01,3.625e+03
11.4,2.197e+01,4.746e+03,8.804e+01,4.856e+03
12.8,2.129e+01,7.192e+03,6.128e+01,7.275e+03
14.2,2.190e+01,9.900e+03,6.565e+01,9.988e+03
15.6,2.499e+01,1.048e+04,1.060e+02,1.062e+04
17.1,2.559e+01,1.148e+04,1.144e+02,1.162e+04
18.5,2.356e+01,1.474e+04,1.086e+02,1.487e+04
19.9,2.251e+01,1.995e+04,1.401e+02,2.012e+04
21.3,3.117e+01,2.586e+04,1.722e+02,2.607e+04
22.8,4.605e+01,3.114e+04,1.754e+02,3.136e+04
24.2,7.028e+01,3.928e+04,2.221e+02,3.958e+04
25.6,7.916e+01,5.081e+04,2.577e+02,5.114e+04
27.0,5.640e+01,6.600e+04,2.451e+02,6.630e+04
28.4,4.252e+01,9.002e+04,3.090e+02,9.037e+04
29.9,5.648e+01,1.229e+05,3.682e+02,1.234e+05
31.3,1.306e+02,1.753e+05,4.187e+02,1.759e+05
32.7,2.742e+02,2.696e+05,4.976e+02,2.703e+05
34.1,4.804e+02,4.574e+05,5.978e+02,4.585e+05
35.6,9.357e+02,1.087e+06,1.536e+03,1.089e+06
37.0,2.220e+03,2.547e+06,5.210e+03,2.555e+06
38.4,2.550e+03,3.006e+06,7.292e+03,3.016e+06
39.8,2.169e+03,2.385e+06,5.490e+03,2.393e+06
41.2,2.072e+03,1.709e+06,4.039e+03,1.715e+06
42.7,1.791e+03,1.211e+06,2.934e+03,1.216e+06
