freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.538e+01,1.195e+01,7.316e+02,8.389e+02
1.4,7.143e+01,2.455e+01,4.851e+02,5.811e+02
2.8,2.769e+01,2.257e+01,5.610e+01,1.064e+02
4.3,2.647e+01,2.256e+01,2.251e+02,2.742e+02
5.7,2.643e+01,2.487e+01,1.007e+03,1.059e+03
7.1,2.855e+01,2.497e+01,1.712e+03,1.765e+03
8.5,3.114e+01,2.943e+01,2.512e+03,2.572e+03
10.0,3.129e+01,3.266e+01,3.435e+03,3.499e+03
11.4,3.396e+01,2.704e+01,4.257e+03,4.318e+03
12.8,3.207e+01,3.030e+01,4.856e+03,4.919e+03
14.2,2.876e+01,3.691e+01,5.975e+03,6.041e+03
15.7,2.869e+01,3.252e+01,7.765e+03,7.826e+03
17.1,2.840e+01,3.186e+01,1.004e+04,1.010e+04
18.5,3.237e+01,3.901e+01,1.281e+04,1.288e+04
19.9,4.136e+01,4.690e+01,1.552e+04,1.560e+04
21.3,4.892e+01,5.529e+01,1.813e+04,1.823e+04
22.8,5.403e+01,7.193e+01,2.091e+04,2.104e+04
24.2,5.017e+01,6.497e+01,2.418e+04,2.429e+04
25.6,5.482e+01,5.888e+01,2.797e+04,2.808e+04
27.0,6.075e+01,8.732e+01,3.287e+04,3.302e+04
28.5,8.298e+01,1.111e+02,3.920e+04,3.940e+04
29.9,1.074e+02,1.149e+02,4.626e+04,4.649e+04
31.3,1.280e+02,1.426e+02,5.386e+04,5.413e+04
32.7,1.482e+02,2.050e+02,6.286e+04,6.321e+04
34.1,1.390e+02,2.761e+02,7.389e+04,7.430e+04
35.6,1.538e+02,3.716e+02,8.845e+04,8.898e+04
37.0,2.425e+02,4.754e+02,1.063e+05,1.070e+05
38.4,3.957e+02,6.235e+02,1.280e+05,1.291e+05
39.8,5.585e+02,9.713e+02,1.510e+05,1.526e+05
41.3,7.630e+02,1.613e+03,1.805e+05,1.828e+05
42.7,1.164e+03,2.837e+03,2.330e+05,2.370e+05
44.1,1.966e+03,4.836e+03,3.159e+05,3.227e+05
45.5,3.519e+03,7.838e+03,4.451e+05,4.564e+05
47.0,6.678e+03,1.187e+04,6.634e+05,6.819e+05
48.4,1.497e+04,1.379e+04,1.063e+06,1.092e+06
49.8,3.432e+04,1.424e+04,1.813e+06,1.861e+06
51.2,6.076e+04,1.889e+04,2.747e+06,2.827e+06
52.6,7.430e+04,2.195e+04,2.963e+06,3.059e+06
54.1,7.704e+04,1.969e+04,2.662e+06,2.758e+06
55.5,7.923e+04,1.743e+04,2.304e+06,2.401e+06
56.9,8.344e+04,1.658e+04,1.951e+06,2.051e+06
58.3,9.176e+04,1.557e+04,1.590e+06,1.697e+06
59.8,1.177e+05,1.383e+04,1.317e+06,1.448e+06
61.2,1.560e+05,9.925e+03,1.113e+06,1.279e+06
62.6,1.773e+05,5.680e+03,9.618e+05,1.145e+06
64.0,1.762e+05,3.236e+03,8.541e+05,1.034e+06
65.4,1.830e+05,2.658e+03,7.899e+05,9.756e+05
66.9,2.207e+05,2.964e+03,7.414e+05,9.650e+05
68.3,2.867e+05,2.689e+03,6.862e+05,9.756e+05
69.7,3.543e+05,1.576e+03,6.081e+05,9.639e+05
71.1,4.143e+05,7.578e+02,5.253e+05,9.404e+05
72.6,4.730e+05,4.988e+02,4.497e+05,9.232e+05
74.0,5.335e+05,5.447e+02,3.973e+05,9.314e+05
75.4,5.718e+05,8.338e+02,3.593e+05,9.320e+05
76.8,5.581e+05,1.131e+03,3.273e+05,8.866e+05
78.3,4.789e+05,1.075e+03,2.886e+05,7.686e+05
79.7,3.868e+05,8.791e+02,2.538e+05,6.415e+05
81.1,3.096e+05,9.926e+02,2.260e+05,5.366e+05
82.5,2.501e+05,1.131e+03,2.078e+05,4.590e+05
83.9,2.021e+05,1.053e+03,1.916e+05,3.948e+05
85.4,1.624e+05,9.391e+02,1.715e+05,3.348e+05
86.8,1.339e+05,7.097e+02,1.557e+05,2.903e+05
88.2,1.155e+05,4.841e+02,1.482e+05,2.643e+05
89.6,9.746e+04,4.672e+02,1.412e+05,2.392e+05
91.1,8.267e+04,7.966e+02,1.295e+05,2.130e+05
92.5,7.236e+04,1.907e+03,1.169e+05,1.912e+05
93.9,6.843e+04,2.985e+03,1.130e+05,1.844e+05
95.3,6.128e+04,3.154e+03,1.064e+05,1.708e+05
96.7,5.657e+04,2.742e+03,9.894e+04,1.582e+05
98.2,4.991e+04,3.507e+03,9.055e+04,1.440e+05
99.6,4.542e+04,4.806e+03,8.651e+04,1.367e+05
101.0,3.983e+04,8.215e+03,8.696e+04,1.350e+05
102.4,2.939e+04,1.288e+04,8.346e+04,1.257e+05
103.9,2.373e+04,1.181e+04,7.580e+04,1.113e+05
105.3,2.184e+04,8.380e+03,6.845e+04,9.867e+04
106.7,2.032e+04,7.438e+03,6.407e+04,9.183e+04
108.1,1.907e+04,7.700e+03,5.980e+04,8.657e+04
109.6,1.762e+04,7.214e+03,5.378e+04,7.861e+04
111.0,1.576e+04,6.867e+03,4.606e+04,6.869e+04
112.4,1.365e+04,6.582e+03,3.814e+04,5.837e+04
113.8,1.140e+04,5.873e+03,3.090e+04,4.817e+04
115.2,9.160e+03,5.033e+03,2.528e+04,3.948e+04
116.7,7.417e+03,3.823e+03,2.032e+04,3.156e+04
118.1,6.595e+03,2.815e+03,1.747e+04,2.688e+04
119.5,6.220e+03,2.089e+03,1.643e+04,2.474e+04
120.9,5.711e+03,1.846e+03,1.614e+04,2.370e+04
122.4,4.499e+03,2.133e+03,1.553e+04,2.217e+04
123.8,3.348e+03,2.722e+03,1.520e+04,2.127e+04
125.2,2.961e+03,3.090e+03,1.574e+04,2.179e+04
126.6,2.673e+03,3.841e+03,1.619e+04,2.270e+04
128.0,2.469e+03,5.402e+03,1.801e+04,2.588e+04
129.5,3.013e+03,5.801e+03,2.259e+04,3.140e+04
130.9,3.878e+03,4.743e+03,2.746e+04,3.608e+04
132.3,3.441e+03,3.379e+03,2.754e+04,3.436e+04
133.7,1.367e+03,2.487e+03,1.711e+04,2.096e+04
135.2,6.531e+02,2.542e+03,1.575e+04,1.895e+04
136.6,6.418e+02,3.362e+03,2.047e+04,2.448e+04
