freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.319e+02,1.089e+01,7.396e+02,8.824e+02
1.4,9.882e+01,2.746e+01,4.681e+02,5.944e+02
2.9,4.159e+01,3.876e+01,5.544e+01,1.358e+02
4.3,4.100e+01,4.081e+01,2.182e+02,3.000e+02
5.7,3.805e+01,2.695e+01,9.975e+02,1.063e+03
7.2,4.063e+01,3.227e+01,1.708e+03,1.781e+03
8.6,4.047e+01,3.400e+01,2.588e+03,2.662e+03
10.0,3.711e+01,3.258e+01,3.468e+03,3.537e+03
11.5,3.565e+01,2.805e+01,4.374e+03,4.437e+03
12.9,4.036e+01,3.301e+01,5.000e+03,5.073e+03
14.3,4.074e+01,3.974e+01,6.088e+03,6.168e+03
15.8,3.978e+01,3.674e+01,7.878e+03,7.954e+03
17.2,3.699e+01,4.073e+01,1.034e+04,1.042e+04
18.6,4.444e+01,4.892e+01,1.329e+04,1.338e+04
20.1,5.646e+01,4.840e+01,1.613e+04,1.624e+04
21.5,6.207e+01,5.424e+01,1.901e+04,1.913e+04
23.0,6.001e+01,6.813e+01,2.176e+04,2.189e+04
24.4,6.436e+01,6.245e+01,2.528e+04,2.541e+04
25.8,8.629e+01,5.980e+01,2.996e+04,3.010e+04
27.3,1.094e+02,8.430e+01,3.634e+04,3.653e+04
28.7,1.117e+02,1.210e+02,4.305e+04,4.328e+04
30.1,1.402e+02,1.426e+02,5.104e+04,5.133e+04
31.6,2.121e+02,1.680e+02,6.090e+04,6.128e+04
33.0,3.213e+02,2.100e+02,7.279e+04,7.333e+04
34.4,4.447e+02,2.182e+02,8.629e+04,8.695e+04
35.9,5.794e+02,2.680e+02,1.056e+05,1.064e+05
37.3,7.945e+02,4.099e+02,1.323e+05,1.335e+05
38.7,1.199e+03,6.393e+02,1.679e+05,1.697e+05
40.2,1.633e+03,7.068e+02,1.987e+05,2.010e+05
41.6,2.027e+03,6.735e+02,2.232e+05,2.259e+05
43.0,2.941e+03,9.795e+02,2.796e+05,2.835e+05
44.5,4.784e+03,2.263e+03,3.888e+05,3.958e+05
45.9,8.544e+03,4.947e+03,5.739e+05,5.874e+05
47.3,1.817e+04,6.559e+03,9.466e+05,9.713e+05
48.8,4.397e+04,7.044e+03,1.757e+06,1.808e+06
50.2,7.445e+04,6.925e+03,2.446e+06,2.527e+06
51.6,8.874e+04,5.080e+03,2.392e+06,2.486e+06
53.1,9.781e+04,5.049e+03,2.260e+06,2.363e+06
54.5,1.038e+05,5.262e+03,2.032e+06,2.141e+06
55.9,1.209e+05,5.035e+03,1.851e+06,1.977e+06
57.4,1.691e+05,3.991e+03,1.839e+06,2.012e+06
58.8,2.358e+05,2.163e+03,1.796e+06,2.034e+06
60.3,2.689e+05,1.171e+03,1.594e+06,1.864e+06
61.7,2.627e+05,1.633e+03,1.389e+06,1.653e+06
63.1,2.626e+05,2.215e+03,1.214e+06,1.478e+06
64.6,2.890e+05,1.879e+03,1.068e+06,1.359e+06
66.0,3.577e+05,1.026e+03,9.460e+05,1.305e+06
67.4,4.195e+05,7.493e+02,8.097e+05,1.230e+06
68.9,4.470e+05,1.350e+03,6.543e+05,1.103e+06
70.3,4.789e+05,2.216e+03,5.246e+05,1.006e+06
71.7,5.233e+05,2.964e+03,4.408e+05,9.671e+05
73.2,5.719e+05,3.688e+03,4.005e+05,9.760e+05
74.6,5.649e+05,5.255e+03,3.617e+05,9.318e+05
76.0,5.003e+05,7.250e+03,3.122e+05,8.198e+05
77.5,4.220e+05,8.249e+03,2.627e+05,6.929e+05
78.9,3.315e+05,7.969e+03,2.176e+05,5.570e+05
80.3,2.692e+05,7.671e+03,1.949e+05,4.718e+05
81.8,2.206e+05,7.447e+03,1.811e+05,4.092e+05
83.2,1.617e+05,6.257e+03,1.440e+05,3.120e+05
84.6,1.190e+05,4.556e+03,1.182e+05,2.417e+05
86.1,9.462e+04,4.367e+03,1.154e+05,2.144e+05
87.5,7.648e+04,4.087e+03,1.215e+05,2.020e+05
88.9,6.211e+04,3.382e+03,1.159e+05,1.814e+05
90.4,5.557e+04,2.394e+03,1.056e+05,1.636e+05
91.8,5.211e+04,2.226e+03,9.610e+04,1.504e+05
93.2,5.014e+04,2.411e+03,8.724e+04,1.398e+05
94.7,4.415e+04,5.090e+03,7.691e+04,1.262e+05
96.1,3.628e+04,6.972e+03,6.700e+04,1.103e+05
97.5,3.082e+04,8.220e+03,5.999e+04,9.903e+04
99.0,2.592e+04,1.023e+04,5.573e+04,9.188e+04
100.4,2.071e+04,1.072e+04,5.039e+04,8.181e+04
101.9,1.661e+04,1.105e+04,4.579e+04,7.345e+04
103.3,1.200e+04,1.477e+04,4.328e+04,7.005e+04
104.7,7.831e+03,1.810e+04,3.913e+04,6.506e+04
106.2,9.369e+03,2.011e+04,3.764e+04,6.713e+04
107.6,1.377e+04,1.956e+04,4.104e+04,7.437e+04
109.0,1.532e+04,1.484e+04,4.308e+04,7.324e+04
110.5,1.376e+04,1.038e+04,4.162e+04,6.576e+04
111.9,1.161e+04,7.843e+03,3.830e+04,5.775e+04
113.3,1.030e+04,5.937e+03,3.535e+04,5.159e+04
114.8,9.566e+03,4.148e+03,3.386e+04,4.757e+04
116.2,8.765e+03,2.825e+03,3.230e+04,4.389e+04
117.6,7.899e+03,2.202e+03,3.083e+04,4.093e+04
119.1,6.981e+03,2.139e+03,2.966e+04,3.878e+04
120.5,6.396e+03,2.353e+03,2.854e+04,3.729e+04
121.9,5.680e+03,2.377e+03,2.644e+04,3.450e+04
123.4,5.085e+03,2.174e+03,2.457e+04,3.183e+04
124.8,4.740e+03,2.006e+03,2.342e+04,3.017e+04
126.2,4.219e+03,2.021e+03,2.311e+04,2.935e+04
127.7,3.800e+03,2.307e+03,2.668e+04,3.279e+04
129.1,4.019e+03,2.263e+03,3.393e+04,4.021e+04
130.5,4.394e+03,1.948e+03,4.234e+04,4.868e+04
132.0,4.211e+03,2.131e+03,4.727e+04,5.361e+04
133.4,2.748e+03,3.361e+03,3.919e+04,4.530e+04
134.8,1.520e+03,4.687e+03,3.135e+04,3.756e+04
136.3,1.086e+03,5.443e+03,2.750e+04,3.403e+04
137.7,9.309e+02,6.508e+03,2.536e+04,3.280e+04
139.1,8.626e+02,7.590e+03,2.349e+04,3.194e+04
140.6,9.845e+02,7.647e+03,2.401e+04,3.264e+04
142.0,9.877e+02,7.006e+03,2.894e+04,3.693e+04
143.5,9.082e+02,7.207e+03,3.056e+04,3.868e+04
144.9,8.973e+02,9.110e+03,3.445e+04,4.446e+04
146.3,1.144e+03,1.258e+04,3.392e+04,4.765e+04
147.8,1.640e+03,1.500e+04,3.081e+04,4.745e+04
149.2,2.123e+03,1.579e+04,2.536e+04,4.327e+04
150.6,2.535e+03,1.607e+04,2.089e+04,3.949e+04
152.1,2.702e+03,1.508e+04,1.722e+04,3.501e+04
153.5,2.829e+03,1.336e+04,1.508e+04,3.127e+04
154.9,3.223e+03,1.186e+04,1.432e+04,2.940e+04
156.4,3.472e+03,9.920e+03,1.493e+04,2.832e+04
157.8,3.300e+03,7.902e+03,1.590e+04,2.710e+04
159.2,3.118e+03,5.862e+03,1.655e+04,2.553e+04
160.7,2.987e+03,4.815e+03,1.684e+04,2.464e+04
162.1,2.702e+03,3.899e+03,1.587e+04,2.247e+04
163.5,2.402e+03,3.017e+03,1.462e+04,2.004e+04
165.0,2.092e+03,2.226e+03,1.239e+04,1.671e+04
166.4,1.780e+03,1.523e+03,1.029e+04,1.359e+04
167.8,1.567e+03,1.167e+03,9.320e+03,1.205e+04
169.3,1.489e+03,1.035e+03,9.300e+03,1.182e+04
170.7,1.480e+03,1.039e+03,9.490e+03,1.201e+04
172.1,1.371e+03,1.422e+03,8.770e+03,1.156e+04
173.6,1.183e+03,1.554e+03,9.920e+03,1.266e+04
175.0,1.038e+03,1.759e+03,1.287e+04,1.566e+04
176.4,8.942e+02,1.965e+03,1.513e+04,1.799e+04
177.9,7.646e+02,1.878e+03,1.458e+04,1.723e+04
179.3,7.219e+02,1.859e+03,1.361e+04,1.619e+04
180.8,8.218e+02,2.006e+03,1.345e+04,1.628e+04
182.2,1.454e+03,2.108e+03,1.364e+04,1.720e+04
183.6,2.315e+03,1.960e+03,1.282e+04,1.709e+04
185.1,2.006e+03,1.756e+03,1.190e+04,1.567e+04
186.5,1.622e+03,1.869e+03,1.090e+04,1.439e+04
187.9,1.978e+03,2.263e+03,1.080e+04,1.504e+04
189.4,2.028e+03,1.910e+03,1.075e+04,1.469e+04
190.8,2.956e+03,2.050e+03,1.005e+04,1.506e+04
192.2,6.445e+03,2.727e+03,9.872e+03,1.904e+04
193.7,4.827e+03,2.804e+03,1.011e+04,1.774e+04
195.1,2.611e+03,2.952e+03,1.096e+04,1.652e+04
196.5,3.333e+03,3.626e+03,1.203e+04,1.899e+04
198.0,4.494e+03,4.135e+03,1.284e+04,2.147e+04
199.4,6.224e+03,4.921e+03,1.345e+04,2.460e+04
