freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.142e+01,1.049e+03,3.694e+01,1.178e+03
1.4,6.846e+01,5.996e+02,4.652e+01,7.145e+02
2.8,2.065e+01,2.408e+01,3.573e+01,8.046e+01
4.2,2.117e+01,1.528e+02,3.934e+01,2.134e+02
5.6,2.116e+01,9.266e+02,4.663e+01,9.944e+02
7.0,2.063e+01,1.780e+03,4.629e+01,1.847e+03
8.4,2.167e+01,2.622e+03,4.915e+01,2.693e+03
9.8,2.334e+01,4.008e+03,7.392e+01,4.105e+03
11.2,2.475e+01,5.334e+03,1.710e+02,5.530e+03
12.6,2.349e+01,5.887e+03,1.466e+02,6.058e+03
14.0,2.118e+01,7.371e+03,7.494e+01,7.467e+03
15.4,2.275e+01,1.044e+04,1.090e+02,1.057e+04
16.8,3.277e+01,1.377e+04,1.658e+02,1.397e+04
18.2,4.943e+01,1.716e+04,1.845e+02,1.739e+04
19.6,4.419e+01,2.207e+04,1.989e+02,2.231e+04
20.9,2.932e+01,2.950e+04,2.345e+02,2.977e+04
22.3,2.699e+01,3.994e+04,2.823e+02,4.025e+04
23.7,3.119e+01,5.453e+04,4.501e+02,5.502e+04
25.1,3.816e+01,7.498e+04,7.133e+02,7.573e+04
26.5,5.534e+01,1.027e+05,9.165e+02,1.037e+05
27.9,7.784e+01,1.321e+05,1.077e+03,1.332e+05
29.3,1.219e+02,1.752e+05,1.337e+03,1.767e+05
30.7,1.699e+02,2.615e+05,1.995e+03,2.636e+05
32.1,2.246e+02,4.440e+05,3.621e+03,4.479e+05
33.5,6.429e+02,8.533e+05,6.942e+03,8.609e+05
34.9,1.388e+03,1.757e+06,1.743e+04,1.775e+06
36.3,1.436e+03,3.413e+06,4.746e+04,3.462e+06
37.7,9.047e+02,4.425e+06,7.128e+04,4.497e+06
39.1,3.472e+02,3.310e+06,6.001e+04,3.370e+06
40.5,4.701e+02,1.957e+06,4.201e+04,2.000e+06
41.9,1.225e+03,1.216e+06,2.898e+04,1.246e+06
43.3,2.711e+03,8.258e+05,2.101e+04,8.495e+05
44.7,4.958e+03,6.409e+05,1.641e+04,6.623e+05
46.1,5.849e+03,6.277e+05,1.007e+04,6.436e+05
47.5,7.493e+03,6.741e+05,4.084e+03,6.857e+05
48.9,2.211e+04,7.155e+05,9.601e+02,7.386e+05
50.3,5.058e+04,6.131e+05,1.178e+03,6.648e+05
51.7,6.158e+04,3.017e+05,1.062e+04,3.739e+05
53.1,4.743e+04,9.255e+04,2.424e+04,1.642e+05
54.5,3.108e+04,3.610e+04,2.079e+04,8.797e+04
55.9,2.505e+04,2.751e+04,1.276e+04,6.532e+04
57.3,2.380e+04,2.715e+04,8.917e+03,5.987e+04
58.7,2.885e+04,2.648e+04,5.179e+03,6.051e+04
60.1,4.034e+04,2.510e+04,1.809e+03,6.724e+04
61.5,4.923e+04,2.709e+04,8.554e+02,7.718e+04
62.8,4.018e+04,3.263e+04,2.308e+03,7.512e+04
64.2,2.739e+04,3.508e+04,4.234e+03,6.670e+04
65.6,1.690e+04,2.940e+04,4.216e+03,5.051e+04
67.0,1.181e+04,2.337e+04,2.930e+03,3.811e+04
68.4,1.379e+04,2.396e+04,4.326e+03,4.207e+04
69.8,1.835e+04,3.009e+04,1.345e+04,6.189e+04
71.2,2.734e+04,4.074e+04,3.549e+04,1.036e+05
72.6,3.821e+04,5.252e+04,6.142e+04,1.521e+05
74.0,4.602e+04,6.819e+04,8.953e+04,2.037e+05
75.4,4.875e+04,7.203e+04,8.924e+04,2.100e+05
76.8,4.986e+04,6.512e+04,6.884e+04,1.838e+05
78.2,5.501e+04,5.848e+04,5.007e+04,1.636e+05
79.6,6.533e+04,5.004e+04,3.467e+04,1.500e+05
81.0,7.971e+04,4.403e+04,2.755e+04,1.513e+05
82.4,9.307e+04,5.040e+04,3.248e+04,1.760e+05
83.8,1.035e+05,6.713e+04,4.741e+04,2.181e+05
85.2,1.279e+05,8.187e+04,6.027e+04,2.700e+05
86.6,1.695e+05,8.676e+04,6.365e+04,3.199e+05
88.0,2.189e+05,8.374e+04,6.037e+04,3.630e+05
89.4,2.754e+05,7.904e+04,5.836e+04,4.128e+05
90.8,3.526e+05,7.785e+04,6.032e+04,4.908e+05
92.2,4.646e+05,8.112e+04,7.393e+04,6.197e+05
93.6,5.761e+05,8.147e+04,9.534e+04,7.529e+05
95.0,6.833e+05,7.744e+04,1.076e+05,8.684e+05
96.4,7.808e+05,7.138e+04,1.081e+05,9.603e+05
97.8,7.792e+05,6.222e+04,1.033e+05,9.447e+05
99.2,7.172e+05,5.396e+04,9.622e+04,8.674e+05
100.6,6.171e+05,4.615e+04,8.650e+04,7.497e+05
102.0,5.071e+05,3.765e+04,7.540e+04,6.201e+05
103.3,4.059e+05,2.828e+04,6.386e+04,4.980e+05
104.7,3.343e+05,2.185e+04,5.469e+04,4.108e+05
106.1,2.934e+05,1.776e+04,4.865e+04,3.598e+05
107.5,2.638e+05,1.560e+04,4.493e+04,3.243e+05
108.9,2.469e+05,1.731e+04,4.395e+04,3.082e+05
110.3,2.338e+05,1.877e+04,4.215e+04,2.948e+05
111.7,2.152e+05,1.830e+04,3.800e+04,2.715e+05
113.1,1.926e+05,1.750e+04,3.431e+04,2.444e+05
114.5,1.694e+05,1.661e+04,3.194e+04,2.180e+05
115.9,1.475e+05,1.414e+04,2.972e+04,1.913e+05
117.3,1.342e+05,1.184e+04,2.932e+04,1.754e+05
118.7,1.292e+05,9.885e+03,3.096e+04,1.700e+05
120.1,1.204e+05,7.654e+03,3.097e+04,1.590e+05
121.5,1.272e+05,5.511e+03,3.497e+04,1.677e+05
122.9,1.329e+05,4.083e+03,3.636e+04,1.734e+05
124.3,1.241e+05,3.141e+03,3.280e+04,1.601e+05
125.7,1.122e+05,2.488e+03,2.777e+04,1.425e+05
127.1,1.062e+05,2.269e+03,2.796e+04,1.364e+05
128.5,8.681e+04,3.573e+03,2.462e+04,1.150e+05
129.9,5.808e+04,7.577e+03,1.623e+04,8.189e+04
131.3,4.336e+04,9.317e+03,9.330e+03,6.201e+04
132.7,2.830e+04,5.168e+03,4.544e+03,3.801e+04
134.1,1.360e+04,8.899e+02,2.263e+03,1.676e+04
135.5,1.168e+04,2.066e+02,2.036e+03,1.392e+04
136.9,1.145e+04,2.251e+02,2.115e+03,1.379e+04
138.3,1.003e+04,3.110e+02,1.815e+03,1.216e+04
139.7,8.607e+03,3.888e+02,1.399e+03,1.039e+04
141.1,7.477e+03,4.516e+02,1.439e+03,9.367e+03
142.5,6.800e+03,6.334e+02,1.428e+03,8.861e+03
143.9,5.812e+03,1.179e+03,1.105e+03,8.095e+03
145.2,5.311e+03,2.013e+03,1.763e+03,9.087e+03
146.6,5.876e+03,2.691e+03,3.516e+03,1.208e+04
148.0,7.478e+03,2.925e+03,6.096e+03,1.650e+04
149.4,1.050e+04,2.604e+03,8.930e+03,2.204e+04
150.8,1.279e+04,1.842e+03,1.063e+04,2.526e+04
152.2,1.361e+04,1.573e+03,1.075e+04,2.593e+04
153.6,1.361e+04,1.835e+03,9.523e+03,2.497e+04
155.0,1.472e+04,2.454e+03,8.528e+03,2.570e+04
156.4,1.654e+04,2.862e+03,8.466e+03,2.787e+04
157.8,1.577e+04,2.644e+03,7.747e+03,2.616e+04
159.2,1.352e+04,3.349e+03,5.941e+03,2.281e+04
160.6,1.148e+04,3.748e+03,4.632e+03,1.986e+04
162.0,7.889e+03,2.454e+03,3.366e+03,1.371e+04
163.4,5.229e+03,1.723e+03,2.283e+03,9.235e+03
164.8,1.186e+04,1.331e+04,3.872e+03,2.905e+04
166.2,2.213e+04,3.012e+04,6.776e+03,5.903e+04
