freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.481e+01,7.789e+02,2.018e+01,8.339e+02
1.4,3.423e+01,4.627e+02,7.561e+01,5.725e+02
2.9,1.811e+01,3.380e+01,5.414e+01,1.060e+02
4.3,1.714e+01,1.787e+02,3.978e+01,2.357e+02
5.7,1.738e+01,9.826e+02,4.144e+01,1.041e+03
7.1,1.911e+01,1.887e+03,3.963e+01,1.946e+03
8.6,2.007e+01,2.822e+03,4.439e+01,2.886e+03
10.0,1.894e+01,3.608e+03,8.388e+01,3.711e+03
11.4,1.782e+01,4.716e+03,1.093e+02,4.843e+03
12.8,1.926e+01,7.028e+03,6.730e+01,7.115e+03
14.3,1.985e+01,9.964e+03,5.695e+01,1.004e+04
15.7,2.281e+01,1.072e+04,1.045e+02,1.085e+04
17.1,2.484e+01,1.128e+04,1.182e+02,1.142e+04
18.5,2.705e+01,1.418e+04,1.142e+02,1.432e+04
20.0,2.113e+01,1.921e+04,1.471e+02,1.937e+04
21.4,2.458e+01,2.608e+04,1.751e+02,2.628e+04
22.8,5.917e+01,3.226e+04,1.404e+02,3.246e+04
24.2,1.071e+02,3.966e+04,1.691e+02,3.994e+04
25.7,1.426e+02,5.187e+04,2.548e+02,5.227e+04
27.1,1.432e+02,6.892e+04,3.095e+02,6.937e+04
28.5,7.601e+01,8.899e+04,3.000e+02,8.937e+04
29.9,5.980e+01,1.197e+05,3.711e+02,1.202e+05
31.4,1.422e+02,1.753e+05,5.709e+02,1.760e+05
32.8,2.974e+02,2.721e+05,7.497e+02,2.731e+05
34.2,5.050e+02,4.628e+05,7.819e+02,4.641e+05
35.6,9.003e+02,1.171e+06,1.276e+03,1.173e+06
37.1,1.339e+03,2.522e+06,4.663e+03,2.528e+06
38.5,1.410e+03,2.824e+06,8.333e+03,2.834e+06
39.9,1.959e+03,2.283e+06,8.299e+03,2.293e+06
41.4,2.514e+03,1.677e+06,6.502e+03,1.686e+06
42.8,2.384e+03,1.214e+06,4.700e+03,1.221e+06
44.2,1.917e+03,9.003e+05,3.525e+03,9.057e+05
45.6,1.732e+03,6.945e+05,3.005e+03,6.993e+05
47.1,2.089e+03,5.580e+05,2.662e+03,5.628e+05
48.5,2.902e+03,4.744e+05,2.502e+03,4.798e+05
49.9,4.090e+03,4.295e+05,2.559e+03,4.361e+05
51.3,5.709e+03,3.956e+05,2.779e+03,4.041e+05
52.8,8.371e+03,3.720e+05,3.191e+03,3.835e+05
54.2,1.339e+04,3.614e+05,3.815e+03,3.786e+05
55.6,2.265e+04,3.518e+05,4.604e+03,3.791e+05
57.0,4.090e+04,3.469e+05,4.190e+03,3.920e+05
58.5,9.606e+04,3.712e+05,3.006e+03,4.703e+05
59.9,2.068e+05,3.586e+05,3.259e+03,5.687e+05
61.3,2.353e+05,2.266e+05,4.365e+03,4.662e+05
62.7,1.645e+05,1.228e+05,3.987e+03,2.913e+05
64.2,1.070e+05,9.266e+04,2.617e+03,2.023e+05
65.6,8.144e+04,8.180e+04,1.741e+03,1.650e+05
67.0,7.132e+04,6.470e+04,1.254e+03,1.373e+05
68.4,6.728e+04,4.084e+04,1.310e+03,1.094e+05
69.9,6.555e+04,2.197e+04,2.379e+03,8.990e+04
71.3,6.156e+04,1.263e+04,3.851e+03,7.804e+04
72.7,5.614e+04,1.064e+04,5.762e+03,7.254e+04
74.1,4.922e+04,1.367e+04,7.119e+03,7.001e+04
75.6,4.927e+04,1.748e+04,8.928e+03,7.568e+04
77.0,5.189e+04,1.991e+04,1.113e+04,8.293e+04
78.4,5.222e+04,2.054e+04,1.211e+04,8.487e+04
79.9,5.313e+04,2.134e+04,1.241e+04,8.688e+04
81.3,5.099e+04,2.314e+04,1.223e+04,8.636e+04
82.7,4.597e+04,2.568e+04,1.176e+04,8.341e+04
84.1,4.402e+04,2.885e+04,1.146e+04,8.433e+04
85.6,4.076e+04,3.310e+04,1.149e+04,8.535e+04
87.0,3.361e+04,3.733e+04,1.041e+04,8.135e+04
88.4,2.235e+04,3.921e+04,1.160e+04,7.316e+04
89.8,1.598e+04,4.455e+04,1.411e+04,7.463e+04
91.3,2.060e+04,5.579e+04,1.089e+04,8.728e+04
92.7,2.053e+04,5.665e+04,8.921e+03,8.610e+04
94.1,2.412e+04,5.818e+04,8.150e+03,9.045e+04
95.5,2.818e+04,6.811e+04,8.789e+03,1.051e+05
97.0,3.035e+04,7.075e+04,9.226e+03,1.103e+05
98.4,3.262e+04,7.115e+04,9.669e+03,1.134e+05
99.8,4.724e+04,8.709e+04,1.293e+04,1.473e+05
101.2,7.022e+04,1.053e+05,1.833e+04,1.938e+05
102.7,8.818e+04,1.030e+05,2.224e+04,2.134e+05
104.1,9.738e+04,9.198e+04,2.412e+04,2.135e+05
105.5,9.727e+04,7.878e+04,2.415e+04,2.002e+05
106.9,8.961e+04,6.450e+04,2.245e+04,1.766e+05
108.4,7.503e+04,4.880e+04,1.915e+04,1.430e+05
109.8,6.008e+04,3.540e+04,1.604e+04,1.115e+05
111.2,4.713e+04,2.531e+04,1.362e+04,8.607e+04
112.6,3.739e+04,1.813e+04,1.140e+04,6.692e+04
114.1,3.164e+04,1.349e+04,9.579e+03,5.471e+04
115.5,2.768e+04,1.018e+04,7.901e+03,4.576e+04
116.9,2.473e+04,7.639e+03,6.529e+03,3.890e+04
118.4,2.159e+04,5.383e+03,5.334e+03,3.231e+04
119.8,1.834e+04,3.597e+03,4.625e+03,2.656e+04
121.2,1.442e+04,1.976e+03,3.925e+03,2.032e+04
122.6,1.114e+04,9.203e+02,3.128e+03,1.519e+04
124.1,9.860e+03,6.465e+02,2.530e+03,1.304e+04
125.5,9.820e+03,5.277e+02,2.331e+03,1.268e+04
126.9,9.252e+03,3.371e+02,2.195e+03,1.178e+04
128.3,7.858e+03,2.236e+02,1.793e+03,9.876e+03
129.8,6.479e+03,2.407e+02,1.367e+03,8.087e+03
131.2,5.013e+03,3.576e+02,9.161e+02,6.287e+03
132.6,2.819e+03,4.198e+02,4.572e+02,3.696e+03
134.0,6.116e+02,1.890e+02,1.468e+02,9.475e+02
135.5,1.682e+02,1.168e+02,1.074e+02,3.924e+02
136.9,1.549e+02,1.256e+02,9.477e+01,3.753e+02
138.3,1.625e+02,1.351e+02,9.904e+01,3.967e+02
139.7,1.957e+02,1.664e+02,1.255e+02,4.877e+02
141.2,1.662e+02,1.585e+02,1.249e+02,4.496e+02
142.6,1.363e+02,1.825e+02,1.534e+02,4.723e+02
144.0,1.568e+02,2.733e+02,2.484e+02,6.785e+02
145.4,2.226e+02,5.013e+02,5.962e+02,1.320e+03
146.9,3.775e+02,8.926e+02,8.834e+02,2.153e+03
148.3,5.438e+02,1.134e+03,6.619e+02,2.340e+03
149.7,6.951e+02,1.534e+03,7.173e+02,2.946e+03
151.2,7.131e+02,1.682e+03,8.045e+02,3.200e+03
152.6,6.393e+02,1.583e+03,7.121e+02,2.935e+03
154.0,4.777e+02,1.288e+03,6.992e+02,2.465e+03
155.4,3.441e+02,9.655e+02,7.379e+02,2.048e+03
156.9,3.418e+02,8.659e+02,9.189e+02,2.127e+03
158.3,3.736e+02,9.070e+02,1.070e+03,2.351e+03
159.7,4.391e+02,9.888e+02,9.990e+02,2.427e+03
161.1,8.478e+02,2.628e+03,1.521e+03,4.997e+03
162.6,1.060e+03,3.470e+03,1.619e+03,6.150e+03
164.0,1.012e+03,3.750e+03,1.394e+03,6.156e+03
165.4,1.563e+03,5.803e+03,1.958e+03,9.323e+03
166.8,6.509e+03,2.800e+04,8.836e+03,4.335e+04
168.3,8.863e+03,3.904e+04,1.241e+04,6.031e+04
169.7,1.083e+03,3.947e+03,1.426e+03,6.456e+03
171.1,3.699e+02,6.214e+02,3.792e+02,1.370e+03
172.5,3.446e+02,5.679e+02,3.622e+02,1.275e+03
174.0,3.673e+02,4.772e+02,3.441e+02,1.189e+03
175.4,3.559e+02,3.798e+02,3.126e+02,1.048e+03
176.8,3.466e+02,3.911e+02,2.806e+02,1.018e+03
178.2,2.469e+02,2.801e+02,2.666e+02,7.935e+02
179.7,3.375e+02,4.029e+02,2.850e+02,1.025e+03
181.1,6.104e+02,7.079e+02,2.770e+02,1.595e+03
182.5,9.822e+02,1.044e+03,3.358e+02,2.362e+03
183.9,1.116e+03,1.123e+03,4.600e+02,2.699e+03
185.4,1.180e+03,1.121e+03,5.715e+02,2.872e+03
186.8,1.658e+03,1.168e+03,5.800e+02,3.406e+03
188.2,2.112e+03,1.166e+03,5.812e+02,3.860e+03
189.7,2.099e+03,1.091e+03,4.634e+02,3.654e+03
191.1,1.794e+03,9.317e+02,3.846e+02,3.110e+03
192.5,4.070e+03,1.469e+03,4.995e+02,6.039e+03
193.9,1.117e+04,2.948e+03,9.334e+02,1.505e+04
195.4,7.352e+03,2.028e+03,7.717e+02,1.015e+04
196.8,1.187e+04,8.363e+03,1.093e+04,3.117e+04
198.2,2.452e+04,1.809e+04,2.364e+04,6.625e+04
199.6,4.649e+03,3.160e+03,3.389e+03,1.120e+04
