freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.687e+01,6.657e+02,2.009e+01,7.126e+02
1.4,2.859e+01,3.909e+02,8.742e+01,5.069e+02
2.9,2.119e+01,2.539e+01,5.927e+01,1.059e+02
4.3,2.174e+01,1.728e+02,4.506e+01,2.396e+02
5.7,2.392e+01,9.869e+02,4.312e+01,1.054e+03
7.1,2.417e+01,1.812e+03,3.865e+01,1.874e+03
8.6,2.441e+01,2.739e+03,4.403e+01,2.807e+03
10.0,2.750e+01,3.521e+03,7.775e+01,3.626e+03
11.4,2.747e+01,4.715e+03,8.947e+01,4.832e+03
12.8,2.270e+01,7.133e+03,6.279e+01,7.218e+03
14.3,2.266e+01,9.935e+03,6.672e+01,1.002e+04
15.7,2.773e+01,1.041e+04,1.159e+02,1.055e+04
17.1,2.840e+01,1.093e+04,1.093e+02,1.106e+04
18.5,2.575e+01,1.400e+04,1.008e+02,1.413e+04
20.0,2.407e+01,1.909e+04,1.278e+02,1.924e+04
21.4,3.205e+01,2.507e+04,1.531e+02,2.525e+04
22.8,4.706e+01,3.053e+04,1.599e+02,3.073e+04
24.2,6.076e+01,3.833e+04,2.089e+02,3.860e+04
25.7,6.217e+01,4.926e+04,2.343e+02,4.955e+04
27.1,4.245e+01,6.379e+04,2.410e+02,6.408e+04
28.5,3.770e+01,8.539e+04,3.082e+02,8.574e+04
29.9,7.461e+01,1.186e+05,4.059e+02,1.191e+05
31.4,1.715e+02,1.750e+05,5.782e+02,1.757e+05
32.8,2.956e+02,2.692e+05,7.044e+02,2.702e+05
34.2,4.550e+02,4.484e+05,7.275e+02,4.496e+05
35.6,8.517e+02,1.074e+06,1.584e+03,1.077e+06
37.1,1.255e+03,2.168e+06,4.691e+03,2.173e+06
38.5,1.131e+03,2.313e+06,6.339e+03,2.320e+06
39.9,1.086e+03,1.782e+06,5.331e+03,1.789e+06
41.3,1.167e+03,1.275e+06,3.947e+03,1.281e+06
42.8,1.055e+03,9.129e+05,2.907e+03,9.169e+05
44.2,7.955e+02,6.937e+05,2.411e+03,6.969e+05
