freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.440e+02,1.144e+01,1.092e+01,8.663e+02
1.4,4.812e+02,2.988e+01,2.568e+01,5.367e+02
2.9,2.205e+01,3.144e+01,2.540e+01,7.889e+01
4.3,1.856e+02,3.100e+01,2.574e+01,2.423e+02
5.7,9.503e+02,3.068e+01,2.464e+01,1.006e+03
7.2,1.695e+03,3.207e+01,2.652e+01,1.753e+03
8.6,2.279e+03,3.165e+01,2.791e+01,2.338e+03
10.0,3.107e+03,3.133e+01,2.617e+01,3.164e+03
11.5,4.166e+03,2.894e+01,2.253e+01,4.217e+03
12.9,5.569e+03,2.634e+01,2.300e+01,5.619e+03
14.3,7.048e+03,2.924e+01,2.385e+01,7.101e+03
15.8,8.053e+03,3.272e+01,2.282e+01,8.109e+03
17.2,8.582e+03,3.602e+01,2.222e+01,8.641e+03
18.6,1.003e+04,3.458e+01,2.142e+01,1.008e+04
20.1,1.269e+04,3.352e+01,2.261e+01,1.275e+04
21.5,1.589e+04,3.090e+01,2.357e+01,1.595e+04
22.9,1.979e+04,3.267e+01,2.355e+01,1.985e+04
24.3,2.354e+04,3.781e+01,2.370e+01,2.360e+04
25.8,2.732e+04,4.610e+01,2.770e+01,2.740e+04
27.2,3.185e+04,5.872e+01,3.394e+01,3.194e+04
28.6,3.673e+04,6.725e+01,3.561e+01,3.683e+04
30.1,4.146e+04,5.762e+01,3.443e+01,4.156e+04
31.5,4.702e+04,5.436e+01,4.662e+01,4.712e+04
32.9,5.401e+04,5.192e+01,5.148e+01,5.411e+04
34.4,6.214e+04,5.026e+01,4.388e+01,6.224e+04
35.8,7.124e+04,5.690e+01,4.305e+01,7.134e+04
37.2,8.149e+04,7.948e+01,4.058e+01,8.161e+04
38.7,9.454e+04,1.107e+02,4.670e+01,9.470e+04
40.1,1.070e+05,1.479e+02,6.729e+01,1.072e+05
41.5,1.204e+05,1.957e+02,8.143e+01,1.206e+05
43.0,1.417e+05,2.350e+02,1.227e+02,1.421e+05
44.4,1.736e+05,2.563e+02,2.150e+02,1.741e+05
45.8,2.085e+05,3.689e+02,4.259e+02,2.093e+05
47.3,2.309e+05,7.097e+02,8.679e+02,2.325e+05
48.7,2.442e+05,1.110e+03,1.177e+03,2.465e+05
50.1,2.853e+05,1.529e+03,1.337e+03,2.882e+05
51.6,3.529e+05,2.409e+03,1.497e+03,3.568e+05
53.0,4.511e+05,4.274e+03,1.785e+03,4.572e+05
54.4,5.492e+05,6.626e+03,1.957e+03,5.578e+05
55.9,6.401e+05,9.089e+03,1.927e+03,6.511e+05
57.3,7.757e+05,1.036e+04,1.647e+03,7.877e+05
58.7,1.024e+06,8.779e+03,1.232e+03,1.035e+06
60.2,1.535e+06,8.234e+03,1.079e+03,1.544e+06
61.6,2.604e+06,1.256e+04,2.058e+03,2.619e+06
63.0,3.738e+06,2.031e+04,4.366e+03,3.762e+06
64.4,4.161e+06,2.460e+04,5.743e+03,4.191e+06
65.9,3.887e+06,2.553e+04,6.831e+03,3.919e+06
67.3,3.458e+06,2.297e+04,8.976e+03,3.490e+06
68.7,3.037e+06,1.656e+04,1.129e+04,3.065e+06
70.2,2.560e+06,1.259e+04,1.263e+04,2.586e+06
71.6,2.099e+06,9.735e+03,1.422e+04,2.123e+06
73.0,1.747e+06,6.654e+03,1.662e+04,1.771e+06
74.5,1.491e+06,4.879e+03,1.856e+04,1.515e+06
75.9,1.341e+06,5.776e+03,1.933e+04,1.366e+06
77.3,1.268e+06,8.133e+03,1.981e+04,1.296e+06
78.8,1.234e+06,1.019e+04,1.883e+04,1.263e+06
80.2,1.197e+06,1.066e+04,1.493e+04,1.222e+06
81.6,1.153e+06,9.680e+03,1.305e+04,1.175e+06
83.1,1.116e+06,9.318e+03,1.283e+04,1.138e+06
84.5,1.042e+06,8.071e+03,1.267e+04,1.063e+06
85.9,9.272e+05,6.554e+03,1.120e+04,9.450e+05
87.4,7.947e+05,5.443e+03,1.046e+04,8.106e+05
88.8,7.026e+05,4.215e+03,1.075e+04,7.176e+05
90.2,6.596e+05,3.430e+03,1.184e+04,6.748e+05
91.7,5.958e+05,2.599e+03,1.282e+04,6.112e+05
93.1,5.257e+05,2.137e+03,1.682e+04,5.447e+05
94.5,4.991e+05,2.178e+03,2.257e+04,5.239e+05
96.0,4.780e+05,3.016e+03,2.629e+04,5.073e+05
97.4,4.323e+05,3.854e+03,2.704e+04,4.632e+05
98.8,4.161e+05,3.781e+03,2.515e+04,4.451e+05
100.3,3.902e+05,4.293e+03,2.772e+04,4.222e+05
101.7,3.619e+05,4.952e+03,2.988e+04,3.968e+05
103.1,3.432e+05,5.574e+03,3.055e+04,3.793e+05
104.5,3.433e+05,5.335e+03,2.558e+04,3.743e+05
106.0,3.382e+05,3.639e+03,1.756e+04,3.594e+05
107.4,3.166e+05,2.585e+03,1.069e+04,3.299e+05
108.8,2.908e+05,1.671e+03,5.557e+03,2.980e+05
110.3,2.768e+05,1.678e+03,6.120e+03,2.846e+05
111.7,2.561e+05,2.386e+03,9.699e+03,2.682e+05
113.1,2.263e+05,3.376e+03,1.413e+04,2.438e+05
114.6,2.020e+05,4.143e+03,1.766e+04,2.238e+05
116.0,1.802e+05,6.291e+03,3.154e+04,2.180e+05
117.4,1.476e+05,8.771e+03,4.991e+04,2.063e+05
118.9,1.098e+05,8.429e+03,4.798e+04,1.662e+05
120.3,8.061e+04,7.575e+03,3.344e+04,1.216e+05
121.7,6.061e+04,6.627e+03,1.969e+04,8.694e+04
123.2,4.941e+04,6.562e+03,1.730e+04,7.327e+04
124.6,4.240e+04,6.182e+03,1.510e+04,6.368e+04
126.0,4.070e+04,6.009e+03,1.431e+04,6.102e+04
127.5,4.129e+04,5.708e+03,1.436e+04,6.135e+04
128.9,5.178e+04,6.382e+03,1.530e+04,7.346e+04
130.3,7.893e+04,7.964e+03,1.352e+04,1.004e+05
131.8,1.009e+05,8.349e+03,9.737e+03,1.190e+05
133.2,5.736e+04,4.313e+03,4.164e+03,6.583e+04
134.6,1.225e+04,1.155e+03,1.175e+03,1.458e+04
136.1,1.072e+04,1.004e+03,1.009e+03,1.273e+04
137.5,1.334e+04,1.182e+03,8.787e+02,1.541e+04
138.9,1.628e+04,1.285e+03,7.090e+02,1.828e+04
140.4,1.882e+04,1.358e+03,5.331e+02,2.071e+04
141.8,2.115e+04,1.468e+03,4.229e+02,2.304e+04
143.2,2.441e+04,1.558e+03,3.990e+02,2.636e+04
144.6,2.969e+04,1.613e+03,3.895e+02,3.170e+04
146.1,3.317e+04,1.544e+03,4.300e+02,3.514e+04
147.5,3.425e+04,1.406e+03,4.922e+02,3.614e+04
148.9,3.511e+04,1.346e+03,6.142e+02,3.707e+04
150.4,3.666e+04,1.459e+03,6.393e+02,3.876e+04
151.8,3.804e+04,1.571e+03,6.636e+02,4.028e+04
153.2,4.020e+04,1.597e+03,1.224e+03,4.302e+04
154.7,4.164e+04,1.569e+03,1.803e+03,4.501e+04
156.1,3.927e+04,1.530e+03,1.348e+03,4.214e+04
157.5,3.839e+04,1.436e+03,1.134e+03,4.096e+04
159.0,3.536e+04,1.337e+03,9.351e+02,3.763e+04
160.4,3.227e+04,1.380e+03,1.028e+03,3.468e+04
161.8,3.285e+04,1.532e+03,1.217e+03,3.560e+04
163.3,3.762e+04,1.618e+03,1.415e+03,4.065e+04
164.7,4.491e+04,1.816e+03,1.332e+03,4.806e+04
166.1,5.302e+04,1.975e+03,1.020e+03,5.602e+04
167.6,5.642e+04,2.011e+03,9.938e+02,5.942e+04
169.0,5.801e+04,1.989e+03,1.037e+03,6.104e+04
170.4,5.514e+04,1.828e+03,1.012e+03,5.798e+04
171.9,5.314e+04,1.745e+03,1.004e+03,5.589e+04
173.3,5.352e+04,1.733e+03,1.069e+03,5.633e+04
174.7,5.219e+04,1.745e+03,1.077e+03,5.501e+04
176.2,4.717e+04,1.596e+03,1.231e+03,5.000e+04
177.6,4.964e+04,1.620e+03,1.340e+03,5.261e+04
179.0,5.293e+04,1.770e+03,1.638e+03,5.634e+04
180.5,4.424e+04,1.527e+03,1.841e+03,4.761e+04
181.9,3.744e+04,1.296e+03,1.696e+03,4.043e+04
183.3,2.980e+04,1.063e+03,1.543e+03,3.241e+04
184.8,2.747e+04,1.074e+03,1.544e+03,3.009e+04
186.2,2.691e+04,1.224e+03,1.279e+03,2.941e+04
187.6,2.346e+04,1.306e+03,1.019e+03,2.578e+04
189.0,1.798e+04,1.095e+03,8.442e+02,1.992e+04
190.5,1.315e+04,7.393e+02,6.479e+02,1.454e+04
191.9,9.637e+03,5.157e+02,7.588e+02,1.091e+04
193.3,7.347e+03,4.533e+02,9.907e+02,8.791e+03
194.8,5.628e+03,4.228e+02,1.260e+03,7.311e+03
196.2,4.519e+03,3.657e+02,1.757e+03,6.642e+03
197.6,4.183e+03,3.080e+02,2.302e+03,6.792e+03
