freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.248e+01,5.680e+01,8.928e+02,1.032e+03
1.5,1.072e+02,5.153e+01,5.239e+02,6.827e+02
3.1,8.314e+01,2.805e+01,4.315e+01,1.543e+02
4.6,9.240e+01,4.586e+01,3.602e+02,4.985e+02
6.2,8.613e+01,4.247e+01,1.243e+03,1.371e+03
7.7,9.183e+01,2.937e+01,1.909e+03,2.030e+03
9.3,9.021e+01,2.751e+01,2.848e+03,2.965e+03
10.8,7.730e+01,2.579e+01,4.200e+03,4.303e+03
12.4,7.947e+01,2.738e+01,5.859e+03,5.966e+03
13.9,9.246e+01,3.275e+01,7.092e+03,7.217e+03
15.5,7.801e+01,4.953e+01,8.827e+03,8.954e+03
17.0,8.747e+01,5.185e+01,1.113e+04,1.127e+04
18.5,1.023e+02,5.104e+01,1.376e+04,1.392e+04
20.1,1.006e+02,6.316e+01,1.744e+04,1.760e+04
21.6,9.227e+01,7.704e+01,2.189e+04,2.206e+04
23.2,8.969e+01,9.091e+01,2.714e+04,2.732e+04
24.7,1.145e+02,1.017e+02,3.332e+04,3.353e+04
26.3,1.388e+02,1.563e+02,4.127e+04,4.156e+04
27.8,1.567e+02,2.739e+02,5.160e+04,5.204e+04
29.4,1.939e+02,3.934e+02,6.209e+04,6.268e+04
30.9,2.242e+02,4.684e+02,7.322e+04,7.391e+04
32.5,2.345e+02,7.375e+02,8.968e+04,9.065e+04
34.0,1.850e+02,1.687e+03,1.133e+05,1.152e+05
35.5,1.584e+02,3.877e+03,1.482e+05,1.522e+05
37.1,3.041e+02,8.899e+03,1.950e+05,2.042e+05
38.6,1.090e+03,2.017e+04,2.561e+05,2.774e+05
40.2,4.027e+03,4.367e+04,3.312e+05,3.789e+05
41.7,9.186e+03,6.594e+04,4.219e+05,4.971e+05
43.3,1.110e+04,5.765e+04,5.924e+05,6.612e+05
44.8,9.781e+03,3.551e+04,9.055e+05,9.508e+05
46.4,9.867e+03,1.874e+04,1.368e+06,1.396e+06
47.9,2.260e+04,1.986e+04,1.713e+06,1.755e+06
49.5,8.276e+04,3.174e+04,1.832e+06,1.946e+06
51.0,1.810e+05,3.284e+04,2.256e+06,2.470e+06
52.5,2.312e+05,2.448e+04,2.732e+06,2.988e+06
54.1,2.516e+05,1.911e+04,2.928e+06,3.199e+06
55.6,2.420e+05,1.383e+04,2.663e+06,2.918e+06
57.2,1.969e+05,9.190e+03,2.074e+06,2.280e+06
58.7,1.461e+05,7.216e+03,1.536e+06,1.689e+06
60.3,1.095e+05,8.529e+03,1.164e+06,1.282e+06
61.8,8.414e+04,1.202e+04,9.172e+05,1.013e+06
63.4,6.801e+04,1.357e+04,7.482e+05,8.298e+05
64.9,6.069e+04,1.110e+04,6.292e+05,7.010e+05
66.5,5.485e+04,9.762e+03,5.361e+05,6.007e+05
68.0,4.786e+04,1.087e+04,4.477e+05,5.064e+05
69.5,4.006e+04,1.270e+04,3.682e+05,4.210e+05
71.1,3.486e+04,1.488e+04,3.195e+05,3.693e+05
72.6,3.170e+04,1.773e+04,2.820e+05,3.314e+05
74.2,2.889e+04,2.048e+04,2.528e+05,3.021e+05
75.7,2.676e+04,2.326e+04,2.276e+05,2.776e+05
77.3,2.569e+04,2.600e+04,2.065e+05,2.581e+05
78.8,2.588e+04,2.916e+04,1.949e+05,2.500e+05
80.4,2.616e+04,3.262e+04,1.863e+05,2.451e+05
81.9,2.558e+04,3.509e+04,1.792e+05,2.399e+05
83.5,2.385e+04,3.666e+04,1.661e+05,2.266e+05
85.0,2.737e+04,4.280e+04,1.661e+05,2.362e+05
86.6,2.992e+04,4.688e+04,1.654e+05,2.422e+05
88.1,3.036e+04,4.849e+04,1.527e+05,2.316e+05
89.6,3.082e+04,5.200e+04,1.451e+05,2.280e+05
91.2,3.255e+04,5.751e+04,1.442e+05,2.343e+05
92.7,3.895e+04,6.706e+04,1.476e+05,2.536e+05
94.3,4.592e+04,7.762e+04,1.463e+05,2.699e+05
95.8,5.280e+04,8.672e+04,1.405e+05,2.800e+05
97.4,6.387e+04,9.930e+04,1.374e+05,3.005e+05
98.9,7.428e+04,1.122e+05,1.318e+05,3.183e+05
100.5,7.875e+04,1.214e+05,1.228e+05,3.229e+05
102.0,7.607e+04,1.220e+05,1.130e+05,3.110e+05
103.6,6.901e+04,1.168e+05,1.094e+05,2.953e+05
105.1,5.328e+04,1.032e+05,1.081e+05,2.646e+05
106.6,3.781e+04,8.876e+04,1.080e+05,2.346e+05
108.2,2.666e+04,7.778e+04,1.070e+05,2.114e+05
109.7,2.015e+04,7.178e+04,1.075e+05,1.994e+05
111.3,1.799e+04,7.111e+04,1.122e+05,2.013e+05
112.8,1.839e+04,7.380e+04,1.177e+05,2.099e+05
114.4,1.998e+04,7.951e+04,1.188e+05,2.183e+05
115.9,1.966e+04,8.740e+04,1.083e+05,2.154e+05
117.5,1.822e+04,1.031e+05,9.734e+04,2.187e+05
119.0,1.850e+04,1.207e+05,9.476e+04,2.340e+05
120.6,1.913e+04,1.244e+05,9.428e+04,2.378e+05
122.1,1.947e+04,1.214e+05,9.567e+04,2.366e+05
123.6,1.958e+04,1.181e+05,1.001e+05,2.378e+05
125.2,2.098e+04,1.176e+05,1.074e+05,2.460e+05
126.7,2.419e+04,1.202e+05,1.143e+05,2.587e+05
128.3,3.047e+04,1.239e+05,1.215e+05,2.759e+05
129.8,4.036e+04,1.270e+05,1.288e+05,2.961e+05
131.4,5.561e+04,1.226e+05,1.375e+05,3.158e+05
132.9,4.616e+04,8.350e+04,1.030e+05,2.327e+05
134.5,2.431e+04,4.391e+04,5.749e+04,1.257e+05
136.0,2.787e+04,3.232e+04,5.662e+04,1.168e+05
137.6,3.427e+04,2.567e+04,6.123e+04,1.212e+05
139.1,3.765e+04,2.350e+04,6.301e+04,1.242e+05
140.6,4.605e+04,2.610e+04,7.272e+04,1.449e+05
142.2,5.708e+04,3.087e+04,8.792e+04,1.759e+05
143.7,5.960e+04,3.287e+04,9.145e+04,1.839e+05
145.3,5.295e+04,2.993e+04,8.203e+04,1.649e+05
146.8,5.131e+04,2.916e+04,8.059e+04,1.611e+05
148.4,4.625e+04,2.808e+04,7.400e+04,1.483e+05
149.9,3.186e+04,2.180e+04,5.143e+04,1.051e+05
151.5,2.178e+04,1.517e+04,3.308e+04,7.003e+04
153.0,2.036e+04,1.318e+04,3.031e+04,6.385e+04
154.6,2.303e+04,1.444e+04,3.665e+04,7.412e+04
156.1,2.309e+04,1.431e+04,3.886e+04,7.627e+04
157.6,2.143e+04,1.316e+04,3.742e+04,7.202e+04
159.2,1.953e+04,1.222e+04,3.627e+04,6.802e+04
160.7,1.818e+04,1.186e+04,3.518e+04,6.523e+04
162.3,1.625e+04,1.088e+04,3.286e+04,5.999e+04
163.8,1.489e+04,1.035e+04,3.104e+04,5.628e+04
165.4,1.392e+04,1.030e+04,2.962e+04,5.384e+04
166.9,1.294e+04,1.035e+04,2.787e+04,5.116e+04
168.5,1.147e+04,1.025e+04,2.498e+04,4.669e+04
170.0,1.077e+04,1.034e+04,2.253e+04,4.364e+04
171.6,1.051e+04,1.035e+04,2.066e+04,4.152e+04
173.1,1.048e+04,1.043e+04,1.893e+04,3.984e+04
174.6,1.036e+04,1.028e+04,1.738e+04,3.803e+04
176.2,1.032e+04,1.004e+04,1.602e+04,3.638e+04
177.7,1.040e+04,9.816e+03,1.482e+04,3.504e+04
179.3,1.015e+04,9.577e+03,1.363e+04,3.336e+04
180.8,9.829e+03,9.053e+03,1.229e+04,3.118e+04
182.4,9.688e+03,8.823e+03,1.134e+04,2.986e+04
183.9,9.470e+03,8.441e+03,1.032e+04,2.823e+04
185.5,8.990e+03,7.744e+03,9.072e+03,2.581e+04
187.0,8.340e+03,7.071e+03,7.883e+03,2.329e+04
188.6,7.648e+03,6.440e+03,6.644e+03,2.073e+04
190.1,7.180e+03,5.929e+03,5.613e+03,1.872e+04
191.6,6.639e+03,5.489e+03,4.932e+03,1.706e+04
193.2,6.389e+03,5.195e+03,4.579e+03,1.616e+04
194.7,6.586e+03,5.017e+03,4.456e+03,1.606e+04
196.3,7.284e+03,5.158e+03,4.696e+03,1.714e+04
197.8,8.578e+03,5.638e+03,5.115e+03,1.933e+04
199.4,1.034e+04,6.730e+03,5.501e+03,2.258e+04
