freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.423e+01,1.263e+01,8.485e+02,8.854e+02
1.4,3.678e+01,2.796e+01,4.886e+02,5.533e+02
2.9,3.168e+01,2.784e+01,2.384e+01,8.335e+01
4.3,2.987e+01,2.762e+01,1.776e+02,2.351e+02
5.7,3.290e+01,2.967e+01,9.505e+02,1.013e+03
7.1,3.443e+01,2.953e+01,1.711e+03,1.775e+03
8.6,3.262e+01,2.858e+01,2.350e+03,2.411e+03
10.0,3.224e+01,2.876e+01,3.222e+03,3.283e+03
11.4,3.505e+01,3.073e+01,4.303e+03,4.368e+03
12.9,3.262e+01,3.014e+01,5.716e+03,5.779e+03
14.3,3.669e+01,3.187e+01,7.246e+03,7.315e+03
15.7,3.726e+01,3.088e+01,7.893e+03,7.961e+03
17.1,3.295e+01,2.726e+01,8.420e+03,8.480e+03
18.6,3.384e+01,3.324e+01,1.035e+04,1.041e+04
20.0,3.116e+01,3.575e+01,1.316e+04,1.323e+04
21.4,3.320e+01,3.791e+01,1.647e+04,1.655e+04
22.8,3.540e+01,3.475e+01,2.064e+04,2.071e+04
24.3,3.576e+01,3.199e+01,2.422e+04,2.429e+04
25.7,3.252e+01,3.544e+01,2.728e+04,2.735e+04
27.1,3.201e+01,3.512e+01,3.093e+04,3.099e+04
28.6,3.622e+01,3.600e+01,3.547e+04,3.554e+04
30.0,3.896e+01,3.296e+01,4.079e+04,4.086e+04
31.4,4.008e+01,3.538e+01,4.686e+04,4.693e+04
32.8,4.622e+01,3.717e+01,5.335e+04,5.344e+04
34.3,5.215e+01,3.969e+01,6.138e+04,6.147e+04
35.7,7.042e+01,4.972e+01,7.242e+04,7.254e+04
37.1,1.001e+02,5.289e+01,8.596e+04,8.611e+04
38.6,1.242e+02,6.481e+01,9.989e+04,1.001e+05
40.0,1.985e+02,1.087e+02,1.132e+05,1.135e+05
41.4,2.846e+02,1.148e+02,1.287e+05,1.291e+05
42.8,3.157e+02,1.008e+02,1.509e+05,1.513e+05
44.3,2.864e+02,9.967e+01,1.835e+05,1.839e+05
45.7,4.371e+02,1.577e+02,2.330e+05,2.336e+05
47.1,9.020e+02,2.794e+02,3.061e+05,3.072e+05
48.5,1.875e+03,5.171e+02,3.936e+05,3.960e+05
50.0,4.860e+03,1.116e+03,4.732e+05,4.792e+05
51.4,1.391e+04,2.263e+03,5.535e+05,5.697e+05
52.8,2.703e+04,2.983e+03,6.853e+05,7.153e+05
54.3,3.259e+04,2.571e+03,7.967e+05,8.319e+05
55.7,3.506e+04,2.092e+03,8.915e+05,9.287e+05
57.1,3.653e+04,1.651e+03,1.146e+06,1.184e+06
58.5,3.707e+04,1.682e+03,1.557e+06,1.595e+06
60.0,3.971e+04,3.115e+03,2.261e+06,2.304e+06
61.4,4.713e+04,6.465e+03,3.145e+06,3.199e+06
62.8,5.212e+04,9.077e+03,3.797e+06,3.858e+06
64.3,5.592e+04,1.031e+04,4.107e+06,4.173e+06
65.7,5.939e+04,1.145e+04,3.829e+06,3.899e+06
67.1,6.109e+04,1.281e+04,3.383e+06,3.456e+06
68.5,6.193e+04,1.363e+04,2.919e+06,2.994e+06
70.0,6.152e+04,1.351e+04,2.474e+06,2.549e+06
71.4,5.977e+04,1.273e+04,2.111e+06,2.183e+06
72.8,6.192e+04,1.246e+04,1.911e+06,1.986e+06
74.3,6.732e+04,1.313e+04,1.748e+06,1.828e+06
75.7,6.568e+04,1.307e+04,1.568e+06,1.646e+06
77.1,5.897e+04,1.248e+04,1.408e+06,1.480e+06
78.5,5.214e+04,1.204e+04,1.225e+06,1.289e+06
80.0,4.583e+04,1.062e+04,1.074e+06,1.130e+06
81.4,3.393e+04,6.955e+03,9.651e+05,1.006e+06
82.8,2.172e+04,3.753e+03,8.311e+05,8.566e+05
84.2,1.420e+04,2.386e+03,7.087e+05,7.253e+05
85.7,9.082e+03,1.627e+03,6.215e+05,6.322e+05
87.1,5.620e+03,1.435e+03,5.867e+05,5.937e+05
88.5,3.832e+03,2.985e+03,5.847e+05,5.916e+05
90.0,3.491e+03,8.555e+03,5.571e+05,5.691e+05
91.4,3.449e+03,1.360e+04,5.162e+05,5.332e+05
92.8,3.654e+03,2.073e+04,4.680e+05,4.924e+05
94.2,3.592e+03,2.804e+04,4.309e+05,4.625e+05
95.7,4.981e+03,5.177e+04,4.020e+05,4.587e+05
97.1,6.387e+03,7.231e+04,3.671e+05,4.458e+05
98.5,6.221e+03,7.772e+04,3.327e+05,4.166e+05
100.0,5.205e+03,7.177e+04,3.223e+05,3.992e+05
101.4,3.864e+03,5.995e+04,3.208e+05,3.846e+05
102.8,2.640e+03,4.671e+04,3.207e+05,3.700e+05
104.2,1.815e+03,3.485e+04,3.213e+05,3.580e+05
105.7,1.600e+03,2.619e+04,3.227e+05,3.505e+05
107.1,1.884e+03,2.054e+04,3.291e+05,3.515e+05
108.5,2.583e+03,1.683e+04,3.397e+05,3.591e+05
109.9,3.748e+03,1.322e+04,3.389e+05,3.559e+05
111.4,5.161e+03,1.051e+04,3.234e+05,3.391e+05
112.8,6.566e+03,9.624e+03,2.889e+05,3.051e+05
114.2,8.971e+03,1.272e+04,2.664e+05,2.881e+05
115.7,1.215e+04,2.094e+04,2.555e+05,2.886e+05
117.1,1.579e+04,3.649e+04,2.420e+05,2.943e+05
118.5,1.669e+04,3.312e+04,2.194e+05,2.692e+05
119.9,1.600e+04,2.528e+04,1.910e+05,2.323e+05
121.4,1.485e+04,1.651e+04,1.572e+05,1.886e+05
122.8,1.363e+04,1.231e+04,1.266e+05,1.525e+05
124.2,1.097e+04,7.740e+03,1.114e+05,1.301e+05
125.7,8.169e+03,5.889e+03,1.120e+05,1.261e+05
127.1,5.941e+03,5.114e+03,1.250e+05,1.361e+05
128.5,4.443e+03,3.899e+03,1.516e+05,1.599e+05
129.9,3.570e+03,2.839e+03,1.815e+05,1.879e+05
131.4,3.275e+03,1.740e+03,1.751e+05,1.802e+05
132.8,2.556e+03,8.735e+02,1.081e+05,1.116e+05
134.2,1.292e+03,4.424e+02,1.927e+04,2.100e+04
135.7,8.517e+02,4.195e+02,8.052e+03,9.323e+03
137.1,5.776e+02,4.440e+02,9.746e+03,1.077e+04
138.5,3.961e+02,5.044e+02,1.200e+04,1.290e+04
139.9,3.158e+02,7.151e+02,1.355e+04,1.459e+04
141.4,3.467e+02,1.227e+03,1.368e+04,1.526e+04
142.8,4.092e+02,1.403e+03,1.398e+04,1.579e+04
144.2,4.185e+02,1.174e+03,1.575e+04,1.734e+04
145.6,4.637e+02,1.514e+03,1.428e+04,1.626e+04
147.1,4.341e+02,1.348e+03,9.197e+03,1.098e+04
148.5,4.953e+02,1.347e+03,6.235e+03,8.078e+03
149.9,5.048e+02,1.220e+03,4.687e+03,6.411e+03
151.4,5.321e+02,1.169e+03,4.242e+03,5.943e+03
152.8,5.413e+02,1.264e+03,3.889e+03,5.695e+03
154.2,5.480e+02,1.351e+03,3.655e+03,5.554e+03
155.6,5.027e+02,1.224e+03,3.201e+03,4.929e+03
157.1,4.423e+02,9.909e+02,2.622e+03,4.055e+03
158.5,3.846e+02,6.478e+02,2.672e+03,3.705e+03
159.9,3.490e+02,8.662e+02,3.827e+03,5.042e+03
161.4,3.888e+02,1.294e+03,3.324e+03,5.007e+03
162.8,3.811e+02,9.729e+02,2.022e+03,3.376e+03
164.2,3.248e+02,8.232e+02,1.749e+03,2.897e+03
165.6,2.812e+02,6.881e+02,1.744e+03,2.713e+03
167.1,2.430e+02,4.669e+02,1.755e+03,2.465e+03
168.5,2.131e+02,3.847e+02,2.035e+03,2.632e+03
169.9,2.238e+02,5.257e+02,2.662e+03,3.412e+03
171.3,3.132e+02,1.294e+03,3.710e+03,5.318e+03
172.8,3.255e+02,1.668e+03,5.331e+03,7.324e+03
174.2,2.703e+02,1.622e+03,6.480e+03,8.372e+03
175.6,2.255e+02,2.008e+03,6.791e+03,9.025e+03
177.1,2.101e+02,2.083e+03,5.880e+03,8.173e+03
178.5,2.360e+02,2.033e+03,5.794e+03,8.063e+03
179.9,3.431e+02,2.175e+03,6.724e+03,9.242e+03
181.3,5.239e+02,2.567e+03,8.494e+03,1.159e+04
182.8,7.272e+02,3.240e+03,1.116e+04,1.512e+04
184.2,8.203e+02,3.045e+03,1.196e+04,1.582e+04
185.6,7.385e+02,2.762e+03,1.030e+04,1.380e+04
187.1,5.992e+02,3.420e+03,9.888e+03,1.391e+04
188.5,4.852e+02,4.238e+03,1.249e+04,1.721e+04
189.9,3.599e+02,4.785e+03,1.388e+04,1.903e+04
191.3,2.665e+02,4.722e+03,1.385e+04,1.884e+04
192.8,2.073e+02,4.162e+03,1.392e+04,1.829e+04
194.2,1.638e+02,3.690e+03,1.313e+04,1.698e+04
195.6,1.642e+02,2.933e+03,1.333e+04,1.643e+04
197.0,2.210e+02,2.060e+03,1.450e+04,1.678e+04
198.5,2.867e+02,1.505e+03,1.512e+04,1.691e+04
199.9,3.565e+02,1.184e+03,1.560e+04,1.714e+04
