freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.237e+01,4.461e+02,1.734e+01,4.758e+02
1.4,1.944e+01,2.637e+02,8.042e+01,3.636e+02
2.8,1.924e+01,4.508e+01,5.687e+01,1.212e+02
4.3,2.034e+01,2.076e+02,4.857e+01,2.765e+02
5.7,1.997e+01,1.027e+03,5.988e+01,1.107e+03
7.1,2.190e+01,1.936e+03,4.937e+01,2.008e+03
8.5,2.381e+01,2.919e+03,5.359e+01,2.996e+03
10.0,2.236e+01,3.744e+03,1.011e+02,3.867e+03
11.4,2.368e+01,5.294e+03,1.121e+02,5.430e+03
12.8,2.441e+01,7.766e+03,8.735e+01,7.878e+03
14.2,2.430e+01,1.026e+04,7.643e+01,1.036e+04
15.7,2.782e+01,1.158e+04,1.047e+02,1.172e+04
17.1,2.760e+01,1.329e+04,1.062e+02,1.342e+04
18.5,2.938e+01,1.767e+04,1.062e+02,1.781e+04
19.9,2.806e+01,2.543e+04,1.469e+02,2.560e+04
21.4,4.250e+01,3.566e+04,1.645e+02,3.587e+04
22.8,8.528e+01,4.774e+04,1.806e+02,4.801e+04
24.2,1.308e+02,6.908e+04,2.639e+02,6.947e+04
25.6,1.602e+02,1.040e+05,3.522e+02,1.045e+05
27.1,1.417e+02,1.712e+05,4.925e+02,1.718e+05
28.5,2.968e+02,3.845e+05,9.367e+02,3.858e+05
29.9,7.733e+02,7.718e+05,1.054e+03,7.736e+05
31.3,9.865e+02,8.681e+05,1.337e+03,8.705e+05
32.8,8.692e+02,7.054e+05,1.036e+03,7.073e+05
34.2,6.778e+02,5.290e+05,6.105e+02,5.303e+05
35.6,5.164e+02,4.008e+05,3.618e+02,4.017e+05
37.0,3.589e+02,3.009e+05,3.054e+02,3.015e+05
38.5,2.078e+02,2.433e+05,3.814e+02,2.439e+05
39.9,9.774e+01,2.188e+05,4.371e+02,2.193e+05
41.3,9.754e+01,1.970e+05,4.006e+02,1.975e+05
42.7,1.716e+02,1.789e+05,3.485e+02,1.794e+05
44.1,2.603e+02,1.625e+05,3.107e+02,1.631e+05
45.6,2.759e+02,1.530e+05,3.064e+02,1.536e+05
47.0,2.570e+02,1.544e+05,2.856e+02,1.549e+05
48.4,3.548e+02,1.611e+05,3.105e+02,1.618e+05
49.8,5.982e+02,1.617e+05,4.163e+02,1.627e+05
51.3,9.968e+02,1.515e+05,5.043e+02,1.530e+05
52.7,1.764e+03,1.428e+05,6.225e+02,1.451e+05
54.1,3.147e+03,1.362e+05,8.147e+02,1.402e+05
55.5,4.945e+03,1.217e+05,9.478e+02,1.276e+05
57.0,7.189e+03,1.112e+05,1.135e+03,1.195e+05
58.4,1.148e+04,1.111e+05,2.350e+03,1.249e+05
59.8,2.112e+04,1.008e+05,4.289e+03,1.262e+05
61.2,3.647e+04,8.314e+04,5.214e+03,1.248e+05
62.7,3.843e+04,6.317e+04,4.171e+03,1.058e+05
64.1,2.997e+04,5.650e+04,5.248e+03,9.172e+04
65.5,2.652e+04,5.230e+04,6.997e+03,8.582e+04
66.9,2.589e+04,4.166e+04,3.622e+03,7.117e+04
68.4,2.490e+04,3.116e+04,2.096e+03,5.815e+04
69.8,2.441e+04,2.235e+04,2.703e+03,4.946e+04
71.2,2.453e+04,1.637e+04,3.057e+03,4.395e+04
72.6,2.586e+04,1.266e+04,3.739e+03,4.226e+04
74.1,2.644e+04,1.052e+04,4.049e+03,4.102e+04
