freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.227e+00,1.017e+03,6.893e+01,1.095e+03
1.4,2.143e+01,5.923e+02,5.501e+01,6.687e+02
2.9,2.209e+01,3.761e+01,2.175e+01,8.145e+01
4.3,2.139e+01,2.252e+02,2.317e+01,2.698e+02
5.7,1.986e+01,1.117e+03,2.301e+01,1.160e+03
7.2,2.112e+01,1.912e+03,2.370e+01,1.957e+03
8.6,2.303e+01,2.517e+03,2.247e+01,2.562e+03
10.0,2.343e+01,3.620e+03,2.359e+01,3.667e+03
11.4,2.454e+01,5.283e+03,2.481e+01,5.333e+03
12.9,2.769e+01,7.786e+03,2.544e+01,7.839e+03
14.3,3.083e+01,1.014e+04,2.759e+01,1.020e+04
15.7,3.938e+01,9.884e+03,2.764e+01,9.951e+03
17.2,3.685e+01,1.001e+04,3.441e+01,1.008e+04
18.6,2.388e+01,1.270e+04,4.920e+01,1.277e+04
20.0,2.035e+01,1.672e+04,7.945e+01,1.682e+04
21.5,2.125e+01,2.201e+04,1.120e+02,2.214e+04
22.9,2.341e+01,2.858e+04,1.385e+02,2.874e+04
24.3,2.516e+01,3.680e+04,1.876e+02,3.701e+04
25.8,3.279e+01,4.807e+04,2.831e+02,4.838e+04
27.2,4.345e+01,6.305e+04,4.489e+02,6.354e+04
28.6,6.071e+01,8.078e+04,6.556e+02,8.150e+04
30.0,1.002e+02,1.025e+05,9.660e+02,1.036e+05
31.5,1.635e+02,1.344e+05,1.543e+03,1.361e+05
32.9,2.487e+02,1.814e+05,2.442e+03,1.841e+05
34.3,3.130e+02,2.425e+05,3.591e+03,2.464e+05
35.8,3.336e+02,3.290e+05,4.743e+03,3.341e+05
37.2,3.231e+02,5.095e+05,7.260e+03,5.171e+05
38.6,7.216e+02,1.107e+06,1.880e+04,1.127e+06
40.1,3.481e+03,2.749e+06,5.651e+04,2.809e+06
41.5,6.938e+03,3.828e+06,8.834e+04,3.924e+06
42.9,8.304e+03,3.299e+06,8.558e+04,3.393e+06
44.3,8.063e+03,2.447e+06,7.562e+04,2.530e+06
45.8,6.568e+03,1.784e+06,7.039e+04,1.861e+06
47.2,5.260e+03,1.339e+06,6.661e+04,1.410e+06
48.6,4.405e+03,1.051e+06,6.243e+04,1.118e+06
50.1,4.061e+03,8.630e+05,6.039e+04,9.274e+05
51.5,3.787e+03,7.073e+05,5.772e+04,7.688e+05
52.9,3.812e+03,6.025e+05,5.786e+04,6.642e+05
54.4,3.998e+03,5.373e+05,6.220e+04,6.035e+05
55.8,4.225e+03,4.893e+05,6.724e+04,5.608e+05
57.2,3.946e+03,4.506e+05,6.588e+04,5.204e+05
58.7,3.354e+03,4.184e+05,5.937e+04,4.811e+05
60.1,2.892e+03,3.920e+05,5.402e+04,4.489e+05
61.5,2.553e+03,3.852e+05,5.157e+04,4.393e+05
62.9,2.322e+03,3.809e+05,4.968e+04,4.329e+05
64.4,2.187e+03,3.758e+05,4.740e+04,4.254e+05
65.8,2.300e+03,3.847e+05,4.813e+04,4.352e+05
67.2,2.798e+03,4.131e+05,5.508e+04,4.710e+05
68.7,3.933e+03,4.534e+05,6.809e+04,5.254e+05
70.1,5.780e+03,4.949e+05,8.760e+04,5.882e+05
71.5,8.919e+03,5.364e+05,1.166e+05,6.619e+05
73.0,1.313e+04,5.674e+05,1.544e+05,7.349e+05
74.4,1.393e+04,4.927e+05,1.645e+05,6.711e+05
75.8,1.007e+04,3.436e+05,1.381e+05,4.918e+05
77.3,6.029e+03,2.103e+05,1.015e+05,3.178e+05
78.7,3.992e+03,1.196e+05,6.787e+04,1.914e+05
80.1,4.193e+03,6.682e+04,4.355e+04,1.146e+05
81.5,6.933e+03,3.703e+04,2.393e+04,6.789e+04
83.0,8.838e+03,1.909e+04,1.000e+04,3.793e+04
84.4,8.675e+03,1.047e+04,6.695e+03,2.583e+04
85.8,7.794e+03,7.521e+03,9.607e+03,2.492e+04
87.3,6.493e+03,7.128e+03,1.623e+04,2.985e+04
88.7,5.280e+03,7.476e+03,2.453e+04,3.729e+04
90.1,6.392e+03,8.627e+03,3.728e+04,5.230e+04
91.6,8.199e+03,1.026e+04,5.349e+04,7.195e+04
93.0,1.046e+04,1.163e+04,6.833e+04,9.043e+04
94.4,1.159e+04,1.260e+04,7.711e+04,1.013e+05
95.8,1.128e+04,1.361e+04,7.034e+04,9.523e+04
97.3,1.003e+04,1.336e+04,4.801e+04,7.140e+04
98.7,8.262e+03,1.642e+04,3.968e+04,6.436e+04
100.1,6.553e+03,2.277e+04,4.977e+04,7.909e+04
101.6,5.426e+03,2.545e+04,6.331e+04,9.419e+04
103.0,4.761e+03,2.680e+04,8.128e+04,1.128e+05
104.4,4.594e+03,2.940e+04,1.157e+05,1.497e+05
105.9,3.428e+03,2.738e+04,1.375e+05,1.683e+05
107.3,2.267e+03,2.211e+04,1.273e+05,1.517e+05
108.7,2.463e+03,1.715e+04,1.098e+05,1.294e+05
110.2,3.758e+03,1.439e+04,9.686e+04,1.150e+05
111.6,4.846e+03,1.271e+04,8.186e+04,9.941e+04
113.0,6.150e+03,1.159e+04,6.921e+04,8.696e+04
114.4,7.889e+03,1.171e+04,6.752e+04,8.712e+04
115.9,1.032e+04,1.235e+04,7.536e+04,9.803e+04
117.3,1.435e+04,1.409e+04,9.368e+04,1.221e+05
