freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.170e+02,9.605e+00,7.232e+02,8.498e+02
1.4,9.302e+01,2.768e+01,4.763e+02,5.970e+02
2.9,3.560e+01,2.871e+01,5.045e+01,1.148e+02
4.3,3.197e+01,3.040e+01,2.149e+02,2.773e+02
5.7,3.246e+01,3.307e+01,9.939e+02,1.059e+03
7.1,3.430e+01,3.427e+01,1.683e+03,1.751e+03
8.6,3.677e+01,4.288e+01,2.565e+03,2.645e+03
10.0,3.674e+01,4.647e+01,3.486e+03,3.569e+03
11.4,3.700e+01,3.873e+01,4.154e+03,4.230e+03
12.9,4.091e+01,4.311e+01,4.713e+03,4.797e+03
14.3,3.968e+01,5.384e+01,5.858e+03,5.952e+03
15.7,3.404e+01,4.753e+01,7.614e+03,7.696e+03
17.1,3.548e+01,3.949e+01,1.001e+04,1.008e+04
18.6,3.956e+01,4.699e+01,1.284e+04,1.292e+04
20.0,5.143e+01,5.137e+01,1.579e+04,1.589e+04
21.4,6.048e+01,5.991e+01,1.860e+04,1.872e+04
22.9,6.640e+01,8.253e+01,2.099e+04,2.114e+04
24.3,6.653e+01,8.891e+01,2.400e+04,2.415e+04
25.7,7.850e+01,8.111e+01,2.866e+04,2.882e+04
27.1,1.055e+02,9.717e+01,3.510e+04,3.530e+04
28.6,1.083e+02,1.380e+02,4.146e+04,4.170e+04
30.0,1.348e+02,1.572e+02,4.828e+04,4.857e+04
31.4,2.076e+02,1.793e+02,5.623e+04,5.662e+04
32.9,2.474e+02,2.454e+02,6.558e+04,6.608e+04
34.3,2.659e+02,3.593e+02,7.745e+04,7.807e+04
35.7,3.543e+02,4.253e+02,9.376e+04,9.454e+04
37.1,5.958e+02,5.251e+02,1.161e+05,1.172e+05
38.6,9.189e+02,6.704e+02,1.431e+05,1.447e+05
40.0,1.268e+03,5.799e+02,1.671e+05,1.689e+05
41.4,1.609e+03,5.084e+02,1.913e+05,1.934e+05
42.9,2.063e+03,1.026e+03,2.363e+05,2.394e+05
44.3,3.115e+03,2.492e+03,3.267e+05,3.324e+05
45.7,5.424e+03,4.994e+03,4.855e+05,4.960e+05
47.1,1.130e+04,7.208e+03,7.872e+05,8.057e+05
48.6,2.655e+04,8.354e+03,1.396e+06,1.431e+06
50.0,4.854e+04,9.435e+03,2.099e+06,2.157e+06
51.4,6.086e+04,8.073e+03,2.253e+06,2.322e+06
52.9,6.435e+04,6.376e+03,2.052e+06,2.123e+06
54.3,6.641e+04,6.138e+03,1.794e+06,1.866e+06
55.7,7.493e+04,5.923e+03,1.606e+06,1.687e+06
57.1,1.049e+05,5.021e+03,1.585e+06,1.695e+06
58.6,1.577e+05,3.221e+03,1.607e+06,1.767e+06
60.0,1.970e+05,1.986e+03,1.521e+06,1.720e+06
61.4,2.134e+05,2.229e+03,1.380e+06,1.596e+06
62.9,2.395e+05,2.418e+03,1.230e+06,1.472e+06
64.3,2.820e+05,2.061e+03,1.095e+06,1.379e+06
65.7,3.428e+05,1.185e+03,9.624e+05,1.306e+06
67.1,4.251e+05,5.707e+02,8.261e+05,1.252e+06
68.6,4.833e+05,6.051e+02,6.582e+05,1.142e+06
70.0,5.092e+05,1.047e+03,5.085e+05,1.019e+06
71.4,5.446e+05,1.938e+03,4.150e+05,9.615e+05
72.9,5.654e+05,3.113e+03,3.771e+05,9.456e+05
74.3,5.409e+05,4.247e+03,3.404e+05,8.855e+05
75.7,4.929e+05,5.625e+03,3.068e+05,8.053e+05
77.1,4.218e+05,6.361e+03,2.649e+05,6.931e+05
78.6,3.419e+05,6.239e+03,2.236e+05,5.718e+05
80.0,2.779e+05,6.136e+03,1.996e+05,4.836e+05
81.4,2.279e+05,6.315e+03,1.835e+05,4.178e+05
82.8,1.854e+05,6.251e+03,1.693e+05,3.609e+05
84.3,1.449e+05,5.611e+03,1.487e+05,2.993e+05
85.7,1.067e+05,3.912e+03,1.217e+05,2.323e+05
87.1,7.550e+04,1.833e+03,1.057e+05,1.830e+05
88.6,6.470e+04,1.118e+03,1.126e+05,1.784e+05
